"ID";"location_title";"location_modern_title";"location_other_title";"location_uncertain";"location_lat";"location_long";"LegendID"
374;"Saius";"Sèes";;0;"48.60337800";"0.17345400";5
375;"Custancia";"Coutances";;0;"49.04779200";"-1.44549100";5
376;"Briuuri";"Saint-Lô";;0;"49.11570000";"-1.09066400";5
377;"Coriallo";"Cherbourg";;0;"49.63695600";"-1.62513400";5
378;"Turonus";"Tours";;0;"47.39004700";"0.68892700";5
379;"Saint Martin's Basilica";"Tours";;0;"47.39004700";"0.68892700";5
380;"Alingavias";"Langeais";;0;"47.32393400";"0.40729600";5
381;"Ambacia";"Amboise";;0;"47.41103500";"0.98369800";5
382;"Ballatetone";"Ballan-Miré";;0;"47.34132100";"0.61313200";5
383;"Borgoialo";"Bourgueil";;0;"47.28276900";"0.17888700";5
384;"Bricca Vico";"Brèches";;0;"47.56924800";"0.38789600";5
385;"Briotreite";"Biéré";;0;"48.35568800";"-4.75420200";5
386;"Brixis";"Braye, auj. Reignac";;0;"47.23239200";"0.91638300";5
387;"Cainone";"Chinon";;0;"47.16671800";"0.24021000";5
389;"Condate";"Candes";;0;"44.94706300";"1.96972900";5
390;"Daria/Dariaco";"Dierre";;0;"47.34539000";"0.95211000";5
391;"Evira";"Esvres";;0;"47.28458200";"0.78617100";5
392;"Geniliaco";"Génillé";;0;"47.18637800";"1.09612200";5
393;"Hicciodero";"Yzeures";;0;"46.78527600";"0.86990900";5
394;"Limariaco";"Limeray";;0;"47.45922000";"1.04085800";5
395;"Medeconno";"Mougon";;0;"46.29447900";"-0.28802600";5
396;"Musicaco";"Mouzay";;0;"47.08948900";"0.89247300";5
398;"Pauliaco";"Pouillé";;0;"45.48235600";"6.09318600";5
400;"Silaniaco";"Séligny";;0;"46.96392900";"0.57669900";5
401;"Solonaco";"Sonnay";;0;"45.35450000";"4.90511000";5
402;"Vidua";"Veuves";;0;"47.47157400";"1.12458300";5
403;"Cenomannis";"Le Mans";;0;"48.00777800";"0.19953400";5
404;"Alaona";"Allonnes";;0;"47.96928300";"0.15788200";5
405;"Arciacas";"Saint-Jean-d'Assé";;0;"48.15063700";"0.12266800";5
406;"Arciaco";"Assé-le-Riboul";;0;"48.19308000";"0.08666600";5
407;"Balatonno";"Ballon";;0;"48.17524100";"0.23368000";5
408;"Bedicco";"Bais";;0;"48.25108600";"-0.36345100";5
409;"Bellofaeto";"Beaufay";;0;"48.14711400";"0.36219000";5
410;"Bruciron(no)";"Brulon";;0;"47.96750500";"-0.23551700";5
411;"Cabiliaco";"Chevillé";;0;"47.94842700";"-0.22390100";5
412;"Cirialaco";"Sérillac (comm. De Doucelles)";;0;"48.25628600";"0.16986400";5
413;"Corma";"Cormes";;0;"48.16991400";"0.70384000";5
414;"Crisciac(o)";"Crissé";;0;"48.16851300";"-0.06021200";5
415;"Diabolentis";"Jublains";;0;"48.25709200";"-0.49639200";5
416;"Lacciaco";"Lassay";;0;"46.99820600";"0.05916000";5
417;"Matoliaco";"Mayet";;0;"47.76043100";"0.27454000";5
418;"Matovallo";"Saint-Calais";;0;"47.92013700";"0.74344000";5
419;"Noviomo";"Noyen-sur-Sarthe";;0;"47.87099300";"-0.09736300";5
420;"Novovico";"Neuvy";;0;"46.56060000";"3.29113000";5
421;"Sauliaco";"Souillé";;0;"48.11909500";"0.18261300";5
422;"Sirallo";"Ciral";;0;"48.49458400";"-0.13776800";5
423;"Solemnis";"Solesmes";;0;"50.18575300";"3.49759200";5
424;"Wagias";"Vaiges";;0;"48.04110700";"-0.47707600";5
425;"Redonis";"Rennes";;0;"48.11135900";"-1.68000900";5
426;"Belciaco/Balaciaco";"Beaucè";;0;"48.33903200";"-1.15555200";5
428;"Vindello";"Vendel";;0;"48.29921300";"-1.31028000";5
429;"Andecavis";"Angers";;0;"47.47398800";"-0.55155900";5
430;"Senonas";"Senonnes";;0;"47.79813400";"-1.20337500";5
431;"Namnetis";"Nantes";;0;"47.21851600";"-1.56023500";5
432;"Baiorate";"Béré";;0;"47.71940600";"-1.37572800";5
433;"Deas";"Saint-Philibert de Grandleiu";;0;"47.03590000";"-1.64051800";5
434;"Cambidonno";"Campbon";;0;"47.41281600";"-1.96936100";5
435;"Venetus";"Vannes";;0;"47.65867700";"-2.75990800";5
436;"Senonis";"Sens";;0;"48.19785600";"3.28260600";5
437;"Dortenco";"Dourdan";;0;"48.53096900";"2.01089900";5
438;"Mecledore";"Melun";;0;"48.53538100";"2.65920000";5
439;"Stampas";"Étampes";;0;"48.43304200";"2.16113800";5
440;"Carnotas";"Chartres";;0;"48.44700400";"1.48663900";5
441;"Aloia";"Alluyes";;0;"48.22880600";"1.36361000";5
442;"Bleso";"Blois";;0;"47.58768600";"1.33376400";5
443;"Dorocas";"Dreux";;0;"48.73591200";"1.37104900";5
444;"Riomo";"Ruan";;0;"49.44045900";"1.09396600";5
445;"Vi(n)docino";"Vendôme";;0;"47.79551800";"1.06616800";5
446;"Autiziodero";"Auxerre";;0;"47.79540000";"3.58452000";5
447;"Briodro";"Briare";;0;"47.64107200";"2.74131300";5
448;"Donnaciaco";"Donay";;0;"45.18212000";"5.10186400";5
449;"Eliniaco";"Alligny-près-Cosne";;0;"47.45389100";"3.06091400";5
450;"Nenterac(o)";"Nitry";;0;"47.67227100";"3.87788800";5
451;"Tricas";"Troyes";;0;"48.29716300";"4.07462600";5
452;"Arciaca";"Arcis-sur-Aube";;0;"48.53622100";"4.14229900";5
453;"Briona";"Brienne-la-Vieille";;0;"48.37608300";"4.52837800";5
454;"Cupidis";"Queudes";;0;"48.65685000";"3.75896000";5
455;"Latascone";"La Chapelle-Lasson";;0;"48.62668000";"3.83179000";5
456;"Aurelianis";"Orléans";;0;"47.90273400";"1.90860700";5
457;"Briennone";"Brinon-sur-Sauldre";;0;"47.56628800";"2.25508300";5
