Mint_ID;Start;End
330;636;757
516;580;680
2615;457;602
1412;557;733
181;560;680
1375;459;703
5014;325;705
213;580;680
546;580;670
39026;539;630
1;284;754
36614;337;361
3413;325;757
26213;580;680
563;580;750
35815;744;750
182;580;750
5416;714;750
25013;600;600
5;379;775
1399;325;750
168;580;680
85;586;710
501;580;680
1393;513;631
26214;580;680
622;580;680
48613;560;600
363;600;670
162;650;650
9816;580;680
47814;325;379
9013;500;600
6;284;756
66;284;668
492;496;750
232;500;750
1376;651;716
185;580;680
35814;744;750
42614;580;680
52;0;740
601;580;680
25814;580;680
30613;325;500
9416;580;680
49813;708;709
280;635;640
23013;580;680
23813;580;680
9422;580;680
487;580;680
543;580;750
68;0;474
608;680;750
495;635;670
25014;580;680
31013;705;710
28213;580;750
1410;672;672
143;603;653
459;580;680
422;580;680
242;580;680
17;284;699
148;621;631
8213;580;680
211;580;680
272;580;680
38217;698;745
1405;420;658
215;616;618
8613;580;750
38615;509;669
36213;428;740
27015;580;680
440;685;697
22613;580;750
15813;580;680
238;580;680
177;580;680
39014;555;627
7814;580;680
20213;580;680
2616;284;337
515;486;750
1388;388;724
202;580;680
273;565;680
45813;579;650
1380;642;757
590;580;680
616;680;750
45013;719;747
134;642;653
16213;580;680
94;586;710
