"ID","location_title","location_modern_title","location_other_title","location_uncertain","location_lat","location_long","LegendID"
1,"Alexandria ad Aegyptum","Alexandria",NA,0,"31.20009005","29.91873190",5
2,"Carthago","Carthage","Qartaj",0,"36.85291990","10.32172450",5
3,"Roma","Rome",NA,0,"41.89363823","12.49981866",5
4,"Salamis-Konstantia","Salamis-Constantia",NA,0,"35.18549596","33.89333844",5
5,"Ravenna","Ravenna",NA,0,"44.41835980","12.20352940",5
6,"Ticinum","Pavia",NA,0,"45.18332769","9.14999694",5
7,"Mediolanum","Milan",NA,0,"45.46327487","9.18661949",5
9,"Benevento","Benevento",NA,0,"41.12976130","14.78262080",5
10,"Catania","Catania",NA,0,"37.50787720","15.08303040",5
11,"Neapolis","Naples",NA,0,"40.85177460","14.26812440",5
12,"Syracusae","Syracuse",NA,0,"37.07547390","15.28658610",5
13,"Sardinia","Sardinia",NA,0,"40.12087520","9.01289260",5
14,"Londinium","London",NA,0,"51.43092090","-0.09364960",5
15,"Durovernum","Canterbury",NA,0,"51.28023300","1.07890890",5
16,"Eburacum","York",NA,0,"53.95996510","-1.08729790",5
17,"Colonia Augusta Treverorum","Trier",NA,0,"49.74999200","6.63714330",5
18,"Ambianum","Amiens",NA,0,"49.89406536","2.29575251",5
19,"Thessalonika","Thessaloniki",NA,0,"40.64006290","22.94441910",5
20,"Lucca","Lucca",NA,0,"43.83762110","10.49506090",5
21,"Pisa","Pisa",NA,0,"43.72283860","10.40168880",5
22,"Pistoia","Pistoia",NA,0,"43.93034750","10.90785870",5
52,"Nikomedia","Izmit",NA,0,"40.76725807","29.91694217",5
53,"Kyzikos","Kyzikos","Cyzicus",0,"40.38000000","27.89000000",5
54,"Sirmium","Srem",NA,0,"44.983333","19.616667",5
66,"Antioch","Antakya","Hatay",0,"36.20066300","36.16531800",5
67,"Siscia","Siscia",NA,0,"45.48316266","16.37138283",5
68,"Heraclea","Marmara Ereğlisi",NA,0,"40.97101281","27.95296653",5
69,"Cesaragusta","Zaragoza",NA,0,"41.64884331","-0.88920320",5
70,"Tirazona","Tarazona","Tirasona",0,"41.90427900","-1.72215100",5
71,"Calagorre","Calahorra",NA,0,"42.30704666","-1.96712517",5
72,"Lebea","Herramélluri",NA,0,"42.50333924","-3.01943126",5
73,"Tarracona","Tarragona",NA,0,"41.11888284","1.24449050",5
74,"Gerunda","Gerona",NA,0,"41.97894467","2.82058540",5
