YearBefore1950;"Non-bg-lead-flux";"Year"
1789.5;0.311;160.5
1788.5;-0.999;161.5
1787.5;0.419;162.5
1786.5;0.294;163.5
1785.5;0.306;164.5
1784.5;0.453;165.5
1783.5;0.243;166.5
1782.5;0.234;167.5
1781.5;0.144;168.5
1780.5;0.169;169.5
1779.5;0.207;170.5
1778.5;0.237;171.5
1777.5;0.239;172.5
1776.5;0.468;173.5
1775.5;0.342;174.5
1774.5;0.163;175.5
1773.5;0.091;176.5
1772.5;0.155;177.5
1771.5;0.195;178.5
1770.5;0.165;179.5
1769.5;0.154;180.5
1768.5;0.165;181.5
1767.5;0.178;182.5
1766.5;-0.999;183.5
1765.5;-0.999;184.5
1764.5;0.127;185.5
1763.5;0.152;186.5
1762.5;0.307;187.5
1761.5;0.203;188.5
1760.5;0.124;189.5
1759.5;0.186;190.5
1758.5;0.364;191.5
1757.5;0.166;192.5
1756.5;0.133;193.5
1755.5;0.078;194.5
1754.5;0.141;195.5
1753.5;0.114;196.5
1752.5;0.081;197.5
1751.5;0.248;198.5
1750.5;0.110;199.5
1749.5;0.205;200.5
1748.5;0.220;201.5
1747.5;0.193;202.5
1746.5;0.151;203.5
1745.5;0.350;204.5
1744.5;0.299;205.5
1743.5;0.272;206.5
1742.5;0.140;207.5
1741.5;0.059;208.5
1740.5;0.110;209.5
1739.5;0.205;210.5
1738.5;0.176;211.5
1737.5;0.098;212.5
1736.5;-0.999;213.5
1735.5;-0.999;214.5
1734.5;0.106;215.5
1733.5;0.063;216.5
1732.5;0.192;217.5
1731.5;0.082;218.5
1730.5;0.071;219.5
1729.5;0.097;220.5
1728.5;0.152;221.5
1727.5;0.195;222.5
1726.5;0.069;223.5
1725.5;0.139;224.5
1724.5;0.265;225.5
1723.5;0.119;226.5
1722.5;0.167;227.5
1721.5;0.083;228.5
1720.5;0.232;229.5
1719.5;0.238;230.5
1718.5;0.133;231.5
1717.5;0.103;232.5
1716.5;0.296;233.5
1715.5;0.266;234.5
1714.5;0.135;235.5
1713.5;0.098;236.5
1712.5;-0.028;237.5
1711.5;0.106;238.5
1710.5;0.116;239.5
1709.5;0.076;240.5
1708.5;0.168;241.5
1707.5;0.182;242.5
1706.5;0.181;243.5
1705.5;0.110;244.5
1704.5;0.055;245.5
1703.5;0.065;246.5
1702.5;0.042;247.5
1701.5;0.033;248.5
1700.5;0.103;249.5
1699.5;0.075;250.5
1698.5;0.057;251.5
1697.5;0.174;252.5
1696.5;0.122;253.5
1695.5;0.249;254.5
1694.5;-0.999;255.5
1693.5;0.072;256.5
1692.5;0.083;257.5
1691.5;-0.028;258.5
1690.5;0.037;259.5
1689.5;0.057;260.5
1688.5;0.054;261.5
1687.5;0.057;262.5
1686.5;0.159;263.5
1685.5;-0.025;264.5
1684.5;0.102;265.5
1683.5;0.092;266.5
1682.5;0.118;267.5
1681.5;0.051;268.5
1680.5;0.081;269.5
1679.5;0.021;270.5
1678.5;0.040;271.5
1677.5;0.184;272.5
1676.5;0.179;273.5
1675.5;0.146;274.5
1674.5;0.024;275.5
1673.5;0.138;276.5
1672.5;0.134;277.5
1671.5;0.250;278.5
1670.5;0.108;279.5
1669.5;0.145;280.5
1668.5;0.135;281.5
1667.5;0.189;282.5
1666.5;0.247;283.5
1665.5;0.349;284.5
1664.5;0.229;285.5
1663.5;0.277;286.5
1662.5;0.105;287.5
1661.5;0.068;288.5
1660.5;0.120;289.5
1659.5;0.241;290.5
1658.5;0.104;291.5
1657.5;0.149;292.5
1656.5;0.099;293.5
1655.5;0.096;294.5
1654.5;0.071;295.5
1653.5;0.013;296.5
1652.5;0.053;297.5
1651.5;0.252;298.5
1650.5;0.079;299.5
1649.5;0.090;300.5
1648.5;0.126;301.5
1647.5;0.032;302.5
1646.5;0.097;303.5
1645.5;0.083;304.5
1644.5;0.117;305.5
1643.5;0.134;306.5
1642.5;0.135;307.5
1641.5;0.133;308.5
1640.5;0.202;309.5
1639.5;0.089;310.5
1638.5;0.047;311.5
1637.5;0.114;312.5
1636.5;0.110;313.5
1635.5;0.241;314.5
1634.5;0.173;315.5
1633.5;0.083;316.5
1632.5;0.187;317.5
1631.5;0.263;318.5
1630.5;0.201;319.5
1629.5;0.096;320.5
1628.5;0.083;321.5
1627.5;0.008;322.5
1626.5;0.012;323.5
1625.5;0.081;324.5
1624.5;-0.999;325.5
1623.5;0.270;326.5
1622.5;0.240;327.5
1621.5;0.188;328.5
1620.5;0.144;329.5
1619.5;0.080;330.5
1618.5;0.121;331.5
1617.5;0.117;332.5
1616.5;0.395;333.5
1615.5;-0.999;334.5
1614.5;0.135;335.5
1613.5;0.035;336.5
1612.5;0.137;337.5
1611.5;-0.999;338.5
1610.5;0.051;339.5
1609.5;0.420;340.5
1608.5;0.330;341.5
1607.5;0.141;342.5
1606.5;0.318;343.5
1605.5;0.162;344.5
1604.5;0.115;345.5
1603.5;0.117;346.5
1602.5;0.167;347.5
1601.5;0.172;348.5
1600.5;0.166;349.5
1599.5;0.069;350.5
1598.5;0.158;351.5
1597.5;0.261;352.5
1596.5;0.369;353.5
1595.5;0.225;354.5
1594.5;0.184;355.5
1593.5;0.185;356.5
1592.5;-0.999;357.5
1591.5;-0.999;358.5
1590.5;-0.999;359.5
1589.5;-0.999;360.5
1588.5;-0.999;361.5
1587.5;-0.999;362.5
1586.5;-0.999;363.5
1585.5;-0.999;364.5
1584.5;-0.999;365.5
1583.5;-0.999;366.5
1582.5;0.205;367.5
1581.5;0.098;368.5
1580.5;0.136;369.5
1579.5;0.063;370.5
1578.5;0.191;371.5
1577.5;0.092;372.5
1576.5;0.119;373.5
1575.5;0.282;374.5
1574.5;0.270;375.5
1573.5;0.095;376.5
1572.5;0.179;377.5
1571.5;0.225;378.5
1570.5;0.225;379.5
1569.5;0.166;380.5
1568.5;0.106;381.5
1567.5;0.154;382.5
1566.5;0.128;383.5
1565.5;0.145;384.5
1564.5;0.262;385.5
1563.5;0.161;386.5
1562.5;0.162;387.5
1561.5;0.375;388.5
1560.5;0.171;389.5
1559.5;0.141;390.5
1558.5;0.124;391.5
1557.5;0.213;392.5
1556.5;0.089;393.5
1555.5;0.044;394.5
1554.5;0.012;395.5
1553.5;0.210;396.5
1552.5;0.095;397.5
1551.5;0.138;398.5
1550.5;0.219;399.5
1549.5;0.177;400.5
1548.5;0.248;401.5
1547.5;0.220;402.5
1546.5;0.117;403.5
1545.5;0.107;404.5
1544.5;0.196;405.5
1543.5;0.158;406.5
1542.5;0.029;407.5
1541.5;0.160;408.5
1540.5;0.135;409.5
1539.5;0.100;410.5
1538.5;0.130;411.5
1537.5;0.114;412.5
1536.5;0.055;413.5
1535.5;0.186;414.5
1534.5;0.110;415.5
1533.5;0.054;416.5
1532.5;0.038;417.5
1531.5;0.138;418.5
1530.5;0.118;419.5
1529.5;0.195;420.5
1528.5;0.048;421.5
1527.5;-0.999;422.5
1526.5;0.226;423.5
1525.5;0.097;424.5
1524.5;0.300;425.5
1523.5;0.416;426.5
1522.5;0.074;427.5
1521.5;0.059;428.5
1520.5;0.033;429.5
1519.5;0.060;430.5
1518.5;0.123;431.5
1517.5;0.165;432.5
1516.5;0.210;433.5
1515.5;0.032;434.5
1514.5;0.071;435.5
1513.5;0.151;436.5
1512.5;0.177;437.5
1511.5;0.165;438.5
1510.5;0.087;439.5
1509.5;0.071;440.5
1508.5;0.069;441.5
1507.5;0.162;442.5
1506.5;0.164;443.5
1505.5;0.058;444.5
1504.5;0.090;445.5
1503.5;0.080;446.5
1502.5;0.074;447.5
1501.5;0.123;448.5
1500.5;0.080;449.5
1499.5;0.113;450.5
1498.5;0.140;451.5
1497.5;0.246;452.5
1496.5;0.130;453.5
1495.5;0.132;454.5
1494.5;0.005;455.5
1493.5;0.048;456.5
1492.5;0.084;457.5
1491.5;0.059;458.5
1490.5;0.012;459.5
1489.5;0.076;460.5
1488.5;0.095;461.5
1487.5;0.254;462.5
1486.5;0.171;463.5
