YearBefore1950;"Non-bg-lead-flux";"Year"
1485.5;0.165;464.5
1484.5;0.191;465.5
1483.5;0.020;466.5
1482.5;0.177;467.5
1481.5;0.224;468.5
1480.5;0.131;469.5
1479.5;0.049;470.5
1478.5;0.069;471.5
1477.5;0.079;472.5
1476.5;0.146;473.5
1475.5;0.247;474.5
1474.5;0.055;475.5
1473.5;0.002;476.5
1472.5;0.084;477.5
1471.5;0.116;478.5
1470.5;0.092;479.5
1469.5;0.096;480.5
1468.5;0.068;481.5
1467.5;0.089;482.5
1466.5;0.103;483.5
1465.5;0.003;484.5
1464.5;0.029;485.5
1463.5;-0.025;486.5
1462.5;-0.999;487.5
1461.5;-0.999;488.5
1460.5;0.050;489.5
1459.5;0.127;490.5
1458.5;0.141;491.5
1457.5;0.067;492.5
1456.5;0.032;493.5
1455.5;0.056;494.5
1454.5;0.111;495.5
1453.5;0.057;496.5
1452.5;0.105;497.5
1451.5;0.179;498.5
1450.5;0.107;499.5
1449.5;0.091;500.5
1448.5;0.164;501.5
1447.5;0.114;502.5
1446.5;0.061;503.5
1445.5;0.067;504.5
1444.5;0.179;505.5
1443.5;0.076;506.5
1442.5;0.242;507.5
1441.5;0.197;508.5
1440.5;0.197;509.5
1439.5;0.097;510.5
1438.5;0.114;511.5
1437.5;0.135;512.5
1436.5;0.267;513.5
1435.5;0.084;514.5
1434.5;0.030;515.5
1433.5;0.171;516.5
1432.5;0.088;517.5
1431.5;0.030;518.5
1430.5;0.178;519.5
1429.5;0.317;520.5
1428.5;0.347;521.5
1427.5;0.112;522.5
1426.5;0.082;523.5
1425.5;0.123;524.5
1424.5;0.098;525.5
1423.5;0.118;526.5
1422.5;0.122;527.5
1421.5;0.035;528.5
1420.5;0.108;529.5
1419.5;-0.019;530.5
1418.5;0.055;531.5
1417.5;0.086;532.5
1416.5;0.161;533.5
1415.5;0.107;534.5
1414.5;0.301;535.5
1413.5;0.131;536.5
1412.5;0.086;537.5
1411.5;0.103;538.5
1410.5;0.144;539.5
1409.5;0.197;540.5
1408.5;0.239;541.5
1407.5;0.279;542.5
1406.5;0.249;543.5
1405.5;0.190;544.5
1404.5;0.149;545.5
1403.5;0.050;546.5
1402.5;0.097;547.5
1401.5;0.310;548.5
1400.5;0.285;549.5
1399.5;0.079;550.5
1398.5;0.132;551.5
1397.5;0.148;552.5
1396.5;0.192;553.5
1395.5;0.197;554.5
1394.5;0.190;555.5
1393.5;0.124;556.5
1392.5;0.099;557.5
1391.5;0.270;558.5
1390.5;0.162;559.5
1389.5;0.113;560.5
1388.5;0.031;561.5
1387.5;0.181;562.5
1386.5;0.229;563.5
1385.5;0.034;564.5
1384.5;0.170;565.5
1383.5;0.156;566.5
1382.5;0.089;567.5
1381.5;0.175;568.5
1380.5;0.166;569.5
1379.5;0.033;570.5
1378.5;0.075;571.5
1377.5;0.082;572.5
1376.5;0.153;573.5
1375.5;0.218;574.5
1374.5;0.075;575.5
1373.5;0.177;576.5
1372.5;0.107;577.5
1371.5;0.112;578.5
1370.5;0.183;579.5
1369.5;0.137;580.5
1368.5;0.157;581.5
1367.5;0.061;582.5
1366.5;0.087;583.5
1365.5;0.148;584.5
1364.5;0.146;585.5
1363.5;0.167;586.5
1362.5;0.232;587.5
1361.5;0.210;588.5
1360.5;0.190;589.5
1359.5;0.132;590.5
1358.5;0.221;591.5
1357.5;0.276;592.5
1356.5;0.143;593.5
1355.5;0.295;594.5
1354.5;0.156;595.5
1353.5;0.129;596.5
1352.5;0.252;597.5
1351.5;0.095;598.5
1350.5;0.066;599.5
1349.5;0.171;600.5
1348.5;0.136;601.5
1347.5;0.118;602.5
1346.5;0.187;603.5
1345.5;0.189;604.5
1344.5;0.464;605.5
1343.5;0.169;606.5
1342.5;0.293;607.5
1341.5;-0.048;608.5
1340.5;-0.999;609.5
1339.5;0.179;610.5
1338.5;0.057;611.5
1337.5;0.213;612.5
1336.5;0.202;613.5
1335.5;0.448;614.5
1334.5;0.156;615.5
1333.5;0.223;616.5
1332.5;0.069;617.5
1331.5;0.024;618.5
1330.5;0.160;619.5
1329.5;0.199;620.5
1328.5;0.365;621.5
1327.5;0.252;622.5
1326.5;0.347;623.5
1325.5;0.213;624.5
1324.5;0.254;625.5
1323.5;0.249;626.5
1322.5;0.272;627.5
1321.5;0.290;628.5
1320.5;0.125;629.5
1319.5;0.087;630.5
1318.5;0.244;631.5
1317.5;0.168;632.5
1316.5;0.052;633.5
1315.5;0.070;634.5
1314.5;0.130;635.5
1313.5;0.052;636.5
1312.5;-0.041;637.5
1311.5;0.123;638.5
1310.5;0.198;639.5
1309.5;0.132;640.5
1308.5;0.378;641.5
1307.5;0.192;642.5
1306.5;0.066;643.5
1305.5;0.050;644.5
1304.5;-0.047;645.5
1303.5;0.161;646.5
1302.5;0.011;647.5
1301.5;0.274;648.5
1300.5;0.127;649.5
1299.5;0.077;650.5
1298.5;0.175;651.5
1297.5;0.127;652.5
1296.5;0.375;653.5
1295.5;0.105;654.5
1294.5;0.218;655.5
1293.5;0.253;656.5
1292.5;0.238;657.5
1291.5;-0.015;658.5
1290.5;0.120;659.5
1289.5;0.106;660.5
1288.5;-0.999;661.5
1287.5;0.126;662.5
1286.5;0.120;663.5
1285.5;0.148;664.5
1284.5;0.260;665.5
1283.5;-0.999;666.5
1282.5;0.172;667.5
1281.5;0.072;668.5
1280.5;0.241;669.5
1279.5;0.097;670.5
1278.5;-0.999;671.5
1277.5;-0.999;672.5
1276.5;-0.999;673.5
1275.5;-0.999;674.5
1274.5;-0.999;675.5
1273.5;-0.999;676.5
1272.5;-0.999;677.5
1271.5;-0.999;678.5
1270.5;-0.999;679.5
1269.5;-0.999;680.5
1268.5;-0.999;681.5
1267.5;0.502;682.5
1266.5;0.179;683.5
1265.5;0.125;684.5
1264.5;0.397;685.5
1263.5;0.300;686.5
1262.5;0.188;687.5
1261.5;0.194;688.5
1260.5;0.131;689.5
1259.5;0.196;690.5
1258.5;0.125;691.5
1257.5;0.229;692.5
1256.5;0.206;693.5
1255.5;0.111;694.5
1254.5;0.228;695.5
1253.5;0.303;696.5
1252.5;0.192;697.5
1251.5;0.104;698.5
1250.5;0.077;699.5
1249.5;0.194;700.5
1248.5;0.200;701.5
1247.5;0.216;702.5
1246.5;0.237;703.5
1245.5;0.328;704.5
1244.5;0.253;705.5
1243.5;0.437;706.5
1242.5;0.397;707.5
1241.5;0.199;708.5
1240.5;0.168;709.5
1239.5;0.164;710.5
1238.5;0.280;711.5
1237.5;0.285;712.5
1236.5;0.362;713.5
1235.5;0.475;714.5
1234.5;0.354;715.5
1233.5;0.400;716.5
1232.5;0.259;717.5
1231.5;0.166;718.5
1230.5;0.257;719.5
1229.5;0.201;720.5
1228.5;0.215;721.5
1227.5;0.369;722.5
1226.5;0.231;723.5
1225.5;0.344;724.5
1224.5;0.526;725.5
1223.5;0.189;726.5
1222.5;0.186;727.5
1221.5;0.161;728.5
1220.5;0.235;729.5
1219.5;0.244;730.5
1218.5;0.275;731.5
1217.5;0.196;732.5
1216.5;0.198;733.5
1215.5;0.238;734.5
1214.5;-0.999;735.5
1213.5;0.201;736.5
1212.5;0.219;737.5
1211.5;0.281;738.5
1210.5;0.316;739.5
1209.5;0.319;740.5
1208.5;0.304;741.5
1207.5;0.298;742.5
1206.5;0.221;743.5
1205.5;0.280;744.5
1204.5;0.385;745.5
1203.5;0.237;746.5
1202.5;0.381;747.5
1201.5;0.244;748.5
1200.5;0.290;749.5
1199.5;0.322;750.5
1198.5;0.420;751.5
1197.5;0.365;752.5
1196.5;0.303;753.5
1195.5;0.732;754.5
1194.5;0.398;755.5
1193.5;0.349;756.5
1192.5;0.439;757.5
1191.5;0.313;758.5
1190.5;0.280;759.5
1189.5;-0.999;760.5
1188.5;0.358;761.5
1187.5;0.499;762.5
1186.5;0.530;763.5
1185.5;0.353;764.5
1184.5;0.394;765.5
1183.5;0.311;766.5
1182.5;0.535;767.5
1181.5;-0.999;768.5
1180.5;0.823;769.5
