"ID";"location_title";"location_modern_title";"location_other_title";"location_uncertain";"location_lat";"location_long";"LegendID";"Country"
223;"Laurentio";"Around Porto (uncertain)";;1;"41.34824600";"-8.41102300";5;"Portugal"
237;"No mint";;;1;"40.67126786";"-4.10887974";3;"Spain"
241;"Portocale";"Porto";"Portocolae";0;"41.14824600";"-8.61102300";5;"Portugal"
266;"Unknown";;;1;"40.27009002";"-4.63623033";3;"Spain"
267;"Unknown (Malaka or Cordoba?)";"Malaga or Cordoba";;1;"37.33836474";"-4.51263383";4;"Spain"
268;"Unknown (Emerita?)";"Mérida";;0;"38.91914223";"-6.34079437";4;"Spain"
269;"Unknown (Toleto?)";"Toledo";;1;"39.83991251";"-4.01549986";4;"Spain"
275;"Vallearitia";"Varzea do Douro (doubts)";;1;"41.08668000";"-8.24837500";5;"Portugal"
276;"Vallegia";"Iruña";"Valle…";1;"42.81855000";"-1.64441600";5;"Spain"
933;"Hispalis";"Seville";;0;"37.38909200";"-5.98445900";5;"Spain"
6613;"Unknown (Iberia)";;;1;"40.41659708";"-3.70379883";3;"Spain"
19013;"Castalia";"Castellón de la Plana";"Castelona";0;"39.98603410";"-0.03772924";5;"Spain"
25813;"Arros";"Arros";;1;"42.61945347";"-7.86310640";3;"Spain"
44613;"Al-Andalus";"Cordoba";;0;"37.8845813";"-4.7760138";4;"Spain"
