hoard;mint;year
"Forum Romanum";Unknown;463
"Monte Barro";Unknown;412
"S. Lucia";Constantinople;546
"S. Lucia";Nikomedia;592
"Gadeira/Gades/Col. Augusta Gaditana";"Unknown (Iberia)";592
"Sutton Hoo";Unknown;625
"Sutton Hoo";Unknown;625
"Sutton Hoo";Unknown;625
"Sutton Hoo";Unknown;625
"Sutton Hoo";Unknown;625
"Sutton Hoo";Unknown;625
"Sutton Hoo";Unknown;625
"Sutton Hoo";Valentia;592
"Sutton Hoo";Unknown;625
"Sutton Hoo";Unknown;625
"Sutton Hoo";Unknown;625
"Sutton Hoo";Unknown;625
"Sutton Hoo";Unknown;625
Wieuwerd;Unknown;504
Wieuwerd;Unknown;546
Wieuwerd;Unknown;571
Wieuwerd;Unknown;568
"La Villa de Saint-André de Codols, Nîmes";Unknown;368
"La Villa de Saint-André de Codols, Nîmes";Unknown;377
"Emerita Augusta";Toleto;569
"Emerita Augusta";Recopoli;569
"Emerita Augusta";Emerita;577
"Emerita Augusta";Elvora;577
"Osa de la Vega, Spain";Elvora;695
"Osa de la Vega, Spain";Ispali;695
"Osa de la Vega, Spain";Cordoba;698
"Osa de la Vega, Spain";Ispali;683
"Osa de la Vega, Spain";Egitania;704
"Osa de la Vega, Spain";Cordoba;704
"Osa de la Vega, Spain";Toleto;683
"Osa de la Vega, Spain";Emerita;698
"Osa de la Vega, Spain";Unknown;577
"Osa de la Vega, Spain";Unknown;698
"Osa de la Vega, Spain";Emerita;704
"Osa de la Vega, Spain";Elvora;704
Abusejo;Toleto;593
Abusejo;Ispali;660
Abusejo;Cordoba;660
Abusejo;Toleto;676
Abusejo;Ispali;676
Abusejo;Cordoba;676
Abusejo;Narbo;683
Abusejo;Tarracona;683
Abusejo;Toleto;683
Abusejo;Ispali;683
Abusejo;Cordoba;683
Abusejo;Eliberri;683
Abusejo;Emerita;683
Abusejo;Narbo;694
Abusejo;Barcinona;694
Abusejo;Cesaragusta;694
Abusejo;Toleto;694
Abusejo;Mentesa;694
Abusejo;Ispali;694
Abusejo;Eliberri;694
Abusejo;Emerita;694
Abusejo;Egitania;694
Abusejo;Tude;694
Abusejo;Narbo;698
Abusejo;Barcinona;698
Abusejo;Cesaragusta;698
Abusejo;Gerunda;698
Abusejo;Toleto;698
Abusejo;Mentesa;698
Abusejo;Ispali;698
Abusejo;Cordoba;698
Abusejo;Eliberri;698
Abusejo;Tucci;698
Abusejo;Emerita;698
Abusejo;Egitania;698
Abusejo;Elvora;695
Abusejo;Salmantica;698
Abusejo;Luco;698
Abusejo;Tarracona;704
Abusejo;Cesaragusta;704
Abusejo;Gerunda;704
Abusejo;Toleto;704
Abusejo;Mentesa;704
Abusejo;Ispali;704
Abusejo;Cordoba;704
Abusejo;Emerita;704
Abusejo;Luco;704
"Tolmo de Minateda, Hellin";Ispali;683
"Tolmo de Minateda, Hellin";Cesaragusta;698
"Tolmo de Minateda, Hellin";Toleto;704
"Tolmo de Minateda, Hellin";Cordoba;704
"Tolmo de Minateda, Hellin";Tucci;704
"Serós. Segria";Gerunda;694
"Serós. Segria";Ispali;694
"Serós. Segria";Tarracona;698
"Serós. Segria";Cesaragusta;698
"Serós. Segria";Gerunda;698
"Serós. Segria";Toleto;698
"Serós. Segria";Egitania;698
"Serós. Segria";Cesaragusta;704
"Serós. Segria";Gerunda;704
"Serós. Segria";Ispali;704
"Serós. Segria";Emerita;704
"Serós. Segria";Cordoba;704
"Serós. Segria";Tarracona;712
"Serós. Segria";Cesaragusta;712
Karpasia;Unknown;395
Karpasia;Unknown;395
Karpasia;Unknown;402
Karpasia;Unknown;582
Karpasia;Unknown;527
Karpasia;Unknown;625
Karpasia;Unknown;625
Karpasia;Unknown;625
Alassa;Unknown;371
Alassa;Unknown;625
Alassa;Unknown;641
Kopetra;Unknown;546
Kopetra;Unknown;625
Kourion;Unknown;546
Kourion;Unknown;369
Kourion;Unknown;379
Kourion;Unknown;343
Kourion;Unknown;625
Salamis/Konstantia;Unknown;306
Salamis/Konstantia;Unknown;306
Salamis/Konstantia;Unknown;349
Salamis/Konstantia;Unknown;337
Salamis/Konstantia;Unknown;337
Salamis/Konstantia;Unknown;337
