NonBgLeadFlux;year
0.311;160
-0.999;161
0.419;162
0.294;163
0.306;164
0.453;165
0.243;166
0.234;167
0.144;168
0.169;169
0.207;170
0.237;171
0.239;172
0.468;173
0.342;174
0.163;175
0.091;176
0.155;177
0.195;178
0.165;179
0.154;180
0.165;181
0.178;182
-0.999;183
-0.999;184
0.127;185
0.152;186
0.307;187
0.203;188
0.124;189
0.186;190
0.364;191
0.166;192
0.133;193
0.078;194
0.141;195
0.114;196
0.081;197
0.248;198
0.110;199
0.205;200
0.220;201
0.193;202
0.151;203
0.350;204
0.299;205
0.272;206
0.140;207
0.059;208
0.110;209
0.205;210
0.176;211
0.098;212
-0.999;213
-0.999;214
0.106;215
0.063;216
0.192;217
0.082;218
0.071;219
0.097;220
0.152;221
0.195;222
0.069;223
0.139;224
0.265;225
0.119;226
0.167;227
0.083;228
0.232;229
0.238;230
0.133;231
0.103;232
0.296;233
0.266;234
0.135;235
0.098;236
-0.028;237
0.106;238
0.116;239
0.076;240
0.168;241
0.182;242
0.181;243
0.110;244
0.055;245
0.065;246
0.042;247
0.033;248
0.103;249
0.075;250
0.057;251
0.174;252
0.122;253
0.249;254
-0.999;255
0.072;256
0.083;257
-0.028;258
0.037;259
0.057;260
0.054;261
0.057;262
0.159;263
-0.025;264
0.102;265
0.092;266
0.118;267
0.051;268
0.081;269
0.021;270
0.040;271
0.184;272
0.179;273
0.146;274
0.024;275
0.138;276
0.134;277
0.250;278
0.108;279
0.145;280
0.135;281
0.189;282
0.247;283
0.349;284
0.229;285
0.277;286
0.105;287
0.068;288
0.120;289
0.241;290
0.104;291
0.149;292
0.099;293
0.096;294
0.071;295
0.013;296
0.053;297
0.252;298
0.079;299
0.090;300
0.126;301
0.032;302
0.097;303
0.083;304
0.117;305
0.134;306
0.135;307
0.133;308
0.202;309
0.089;310
0.047;311
0.114;312
0.110;313
0.241;314
0.173;315
0.083;316
0.187;317
0.263;318
0.201;319
0.096;320
0.083;321
0.008;322
0.012;323
0.081;324
-0.999;325
0.270;326
0.240;327
0.188;328
0.144;329
0.080;330
0.121;331
0.117;332
0.395;333
-0.999;334
0.135;335
0.035;336
0.137;337
-0.999;338
0.051;339
0.420;340
0.330;341
0.141;342
0.318;343
0.162;344
0.115;345
0.117;346
0.167;347
0.172;348
0.166;349
0.069;350
0.158;351
0.261;352
0.369;353
0.225;354
0.184;355
0.185;356
-0.999;357
-0.999;358
-0.999;359
-0.999;360
-0.999;361
-0.999;362
-0.999;363
-0.999;364
-0.999;365
-0.999;366
0.205;367
0.098;368
0.136;369
0.063;370
0.191;371
0.092;372
0.119;373
0.282;374
0.270;375
0.095;376
0.179;377
0.225;378
0.225;379
0.166;380
0.106;381
0.154;382
0.128;383
0.145;384
0.262;385
0.161;386
0.162;387
0.375;388
0.171;389
0.141;390
0.124;391
0.213;392
0.089;393
0.044;394
0.012;395
0.210;396
0.095;397
0.138;398
0.219;399
0.177;400
0.248;401
0.220;402
0.117;403
0.107;404
0.196;405
0.158;406
0.029;407
0.160;408
0.135;409
0.100;410
0.130;411
0.114;412
0.055;413
0.186;414
0.110;415
0.054;416
0.038;417
0.138;418
0.118;419
0.195;420
0.048;421
-0.999;422
0.226;423
0.097;424
0.300;425
0.416;426
0.074;427
0.059;428
0.033;429
0.060;430
0.123;431
0.165;432
0.210;433
0.032;434
0.071;435
0.151;436
0.177;437
0.165;438
0.087;439
0.071;440
0.069;441
0.162;442
0.164;443
0.058;444
0.090;445
0.080;446
0.074;447
0.123;448
0.080;449
0.113;450
0.140;451
0.246;452
0.130;453
0.132;454
0.005;455
0.048;456
0.084;457
0.059;458
0.012;459
0.076;460
0.095;461
0.254;462
0.171;463
0.165;464
0.191;465
0.020;466
0.177;467
0.224;468
0.131;469
0.049;470
0.069;471
0.079;472
0.146;473
0.247;474
0.055;475
0.002;476
0.084;477
0.116;478
0.092;479
0.096;480
0.068;481
0.089;482
0.103;483
0.003;484
0.029;485
-0.025;486
-0.999;487
-0.999;488
0.050;489
0.127;490
0.141;491
0.067;492
0.032;493
0.056;494
0.111;495
