NonBgLeadFlux;year
0.057;496
0.105;497
0.179;498
0.107;499
0.091;500
0.164;501
0.114;502
0.061;503
0.067;504
0.179;505
0.076;506
0.242;507
0.197;508
0.197;509
0.097;510
0.114;511
0.135;512
0.267;513
0.084;514
0.030;515
0.171;516
0.088;517
0.030;518
0.178;519
0.317;520
0.347;521
0.112;522
0.082;523
0.123;524
0.098;525
0.118;526
0.122;527
0.035;528
0.108;529
-0.019;530
0.055;531
0.086;532
0.161;533
0.107;534
0.301;535
0.131;536
0.086;537
0.103;538
0.144;539
0.197;540
0.239;541
0.279;542
0.249;543
0.190;544
0.149;545
0.050;546
0.097;547
0.310;548
0.285;549
0.079;550
0.132;551
0.148;552
0.192;553
0.197;554
0.190;555
0.124;556
0.099;557
0.270;558
0.162;559
0.113;560
0.031;561
0.181;562
0.229;563
0.034;564
0.170;565
0.156;566
0.089;567
0.175;568
0.166;569
0.033;570
0.075;571
0.082;572
0.153;573
0.218;574
0.075;575
0.177;576
0.107;577
0.112;578
0.183;579
0.137;580
0.157;581
0.061;582
0.087;583
0.148;584
0.146;585
0.167;586
0.232;587
0.210;588
0.190;589
0.132;590
0.221;591
0.276;592
0.143;593
0.295;594
0.156;595
0.129;596
0.252;597
0.095;598
0.066;599
0.171;600
0.136;601
0.118;602
0.187;603
0.189;604
0.464;605
0.169;606
0.293;607
-0.048;608
-0.999;609
0.179;610
0.057;611
0.213;612
0.202;613
0.448;614
0.156;615
0.223;616
0.069;617
0.024;618
0.160;619
0.199;620
0.365;621
0.252;622
0.347;623
0.213;624
0.254;625
0.249;626
0.272;627
0.290;628
0.125;629
0.087;630
0.244;631
0.168;632
0.052;633
0.070;634
0.130;635
0.052;636
-0.041;637
0.123;638
0.198;639
0.132;640
0.378;641
0.192;642
0.066;643
0.050;644
-0.047;645
0.161;646
0.011;647
0.274;648
0.127;649
0.077;650
0.175;651
0.127;652
0.375;653
0.105;654
0.218;655
0.253;656
0.238;657
-0.015;658
0.120;659
0.106;660
-0.999;661
0.126;662
0.120;663
0.148;664
0.260;665
-0.999;666
0.172;667
0.072;668
0.241;669
0.097;670
-0.999;671
-0.999;672
-0.999;673
-0.999;674
-0.999;675
-0.999;676
-0.999;677
-0.999;678
-0.999;679
-0.999;680
-0.999;681
0.502;682
0.179;683
0.125;684
0.397;685
0.300;686
0.188;687
0.194;688
0.131;689
0.196;690
0.125;691
0.229;692
0.206;693
0.111;694
0.228;695
0.303;696
0.192;697
0.104;698
0.077;699
0.194;700
0.200;701
0.216;702
0.237;703
0.328;704
0.253;705
0.437;706
0.397;707
0.199;708
0.168;709
0.164;710
0.280;711
0.285;712
0.362;713
0.475;714
0.354;715
0.400;716
0.259;717
0.166;718
0.257;719
0.201;720
0.215;721
0.369;722
0.231;723
0.344;724
0.526;725
0.189;726
0.186;727
0.161;728
0.235;729
0.244;730
0.275;731
0.196;732
0.198;733
0.238;734
-0.999;735
0.201;736
0.219;737
0.281;738
0.316;739
0.319;740
0.304;741
0.298;742
0.221;743
0.280;744
0.385;745
0.237;746
0.381;747
0.244;748
0.290;749
0.322;750
0.420;751
0.365;752
0.303;753
0.732;754
0.398;755
0.349;756
0.439;757
0.313;758
0.280;759
-0.999;760
0.358;761
0.499;762
0.530;763
0.353;764
0.394;765
0.311;766
0.535;767
-0.999;768
0.823;769
