region1;region2;value;year
"Iberian Peninsula";"Iberian Peninsula";0.207547;284
"Iberian Peninsula";"Iberian Peninsula";0.207547;285
"Iberian Peninsula";"Iberian Peninsula";0.207547;286
"Iberian Peninsula";"Iberian Peninsula";0.207547;287
"Iberian Peninsula";"Iberian Peninsula";0.207547;288
"Iberian Peninsula";"Iberian Peninsula";0.207547;289
"Iberian Peninsula";"Iberian Peninsula";0.207547;290
"Iberian Peninsula";"Iberian Peninsula";0.207547;291
"Iberian Peninsula";"Iberian Peninsula";0.207547;292
"Iberian Peninsula";"Iberian Peninsula";0.207547;293
"Iberian Peninsula";"Iberian Peninsula";0.207547;294
"Iberian Peninsula";"Iberian Peninsula";0.207547;295
"Iberian Peninsula";"Iberian Peninsula";0.207547;296
"Iberian Peninsula";"Iberian Peninsula";0.207547;297
"Iberian Peninsula";"Iberian Peninsula";0.207547;298
"Iberian Peninsula";"Iberian Peninsula";0.207547;299
"Iberian Peninsula";"Iberian Peninsula";0.207547;300
"Iberian Peninsula";"Iberian Peninsula";0.207547;301
"Iberian Peninsula";"Iberian Peninsula";0.207547;302
"Iberian Peninsula";"Iberian Peninsula";0.207547;303
"Iberian Peninsula";"Iberian Peninsula";0.207547;304
"Iberian Peninsula";"Iberian Peninsula";0.207547;305
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;306
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;307
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;308
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;309
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;310
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;311
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;312
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;313
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;314
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;315
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;316
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;317
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;318
"Iberian Peninsula";"Iberian Peninsula";4.9648839017;319
