hoard;mint;year
"Serós. Segria";Ispali;704
"Serós. Segria";Emerita;704
"Serós. Segria";Cordoba;704
"Serós. Segria";Tarracona;712
"Serós. Segria";Cesaragusta;712
"Garrovillas de Alconétar";Toleto;577
"Garrovillas de Alconétar";Elvora;569
"Garrovillas de Alconétar";Toleto;593
"Garrovillas de Alconétar";Mentesa;593
"Garrovillas de Alconétar";Ispali;593
"Garrovillas de Alconétar";Elvora;593
"Garrovillas de Alconétar";Eminio;593
"Garrovillas de Alconétar";Emerita;593
"Jerez de los Caballeros";Unknown;577
"Jerez de los Caballeros";Emerita;593
"Jerez de los Caballeros";Unknown;593
Carmo;Ispali;593
Carmo;Emerita;602
Carmo;Cesaragusta;606
Carmo;Toleto;606
Carmo;Elvora;606
Carmo;Bergancia;606
Carmo;Fraucello;606
Carmo;Ispali;611
Carmo;Emerita;611
Carmo;Tarracona;616
Carmo;Acci;616
Carmo;Toleto;616
Carmo;Barbi;616
Carmo;Eliberri;616
Carmo;Ispali;616
Carmo;Tucci;616
Carmo;Elvora;616
Carmo;Emerita;616
Carmo;Tude;616
Carmo;Cesaragusta;626
Carmo;Tarracona;626
Carmo;Acci;626
Carmo;Mentesa;626
Carmo;Saldania;626
Carmo;Toleto;626
Carmo;Barbi;626
Carmo;Cordoba;626
Carmo;Eliberri;626
Carmo;Ispali;626
Carmo;Tucci;626
Carmo;Coleia;626
Carmo;Egitania;626
Carmo;Emerita;626
Carmo;Eminio;626
Carmo;Salmantica;626
Carmo;Aliobrio;626
Carmo;Bracara;626
Carmo;Calapa;626
Carmo;Fraucello;626
Carmo;Leione;626
Carmo;Luco;626
Carmo;Senabria;626
Carmo;Acci;633
Carmo;Castilona;633
Carmo;Mentesa;633
Carmo;Toleto;633
Carmo;Asidona;633
Carmo;Barbi;633
Carmo;Cordoba;633
Carmo;Eliberri;633
Carmo;Ispali;633
Carmo;Tucci;633
Carmo;Egitania;633
Carmo;Emerita;633
Carmo;Lameco;633
Carmo;Bracara;633
Carmo;Toriviana;633
Carmo;Eliberri;632
Carmo;Emerita;632
Constantí;Eliberri;593
Constantí;Unknown;593
Constantí;Laurentio;606
Constantí;Tude;606
Constantí;Unknown;606
Constantí;Cesaragusta;616
Constantí;Ispali;616
Constantí;Emerita;616
Constantí;Unknown;616
Constantí;Cesaragusta;626
Constantí;Acci;626
Constantí;Toleto;626
Constantí;Barbi;626
Constantí;Coleia;626
Constantí;Emerita;626
Constantí;Astorica;626
Constantí;Luco;626
Constantí;Ventosa;626
Constantí;Unknown;626
Constantí;Toleto;633
Constantí;Egitania;633
Constantí;Emerita;633
Constantí;Eliberri;633
Constantí;Unknown;633
Constantí;Acci;637
Constantí;Castilona;637
Constantí;Mave;637
Constantí;Toleto;637
Constantí;Valentia;637
Constantí;Tucci;637
Constantí;Emerita;637
Constantí;Eminio;637
Constantí;Bracara;637
Constantí;Unknown;637
Constantí;Tarracona;640
Constantí;Beatia;640
Constantí;Barbi;640
Constantí;Eliberri;640
Constantí;Tucci;640
Constantí;Emerita;647
Constantí;Laetera;647
Constantí;Mave;647
Constantí;Saldania;647
Constantí;Toleto;647
Constantí;Cordoba;647
Constantí;Ispali;642
Constantí;Emerita;647
Constantí;Asturie;642
Constantí;Aurense;647
Constantí;Bracara;647
Constantí;Calapa;647
Constantí;Fraucello;647
Constantí;Luco;647
Constantí;Petra;647
Constantí;Toriviana;647
Constantí;Tude;647
Constantí;Unknown;647
"Col. Caesaraugusta";Toleto;660
"Col. Caesaraugusta";Emerita;660
"Col. Caesaraugusta";Cesaragusta;683
"Col. Caesaraugusta";Toleto;683
"Col. Caesaraugusta";Emerita;683
"Col. Caesaraugusta";Cesaragusta;694
"Col. Caesaraugusta";Tarracona;694
"Col. Caesaraugusta";Mentesa;694
"Col. Caesaraugusta";Toleto;694
"Col. Caesaraugusta";Ispali;694
"Col. Caesaraugusta";Cesaragusta;698
Toletum;Toleto;683
Toletum;Gerunda;694
Toletum;Egitania;694
Toletum;Gerunda;698
Toletum;Tarracona;698
"Fuentes de Andalucia";Ispali;593
"Fuentes de Andalucia";Elvora;593
"Fuentes de Andalucia";Emerita;593
"Fuentes de Andalucia";Ispali;602
"Fuentes de Andalucia";Emerita;602
"Fuentes de Andalucia";Toleto;606
"Fuentes de Andalucia";Ispali;606
"Fuentes de Andalucia";Elvora;606
"Fuentes de Andalucia";Emerita;606
"Fuentes de Andalucia";Toleto;611
"Fuentes de Andalucia";Elvora;610
"Fuentes de Andalucia";Emerita;611
"Fuentes de Andalucia";Mentesa;616
"Fuentes de Andalucia";Toleto;616
"Fuentes de Andalucia";Barbi;616
"Fuentes de Andalucia";Cordoba;616
"Fuentes de Andalucia";Eliberri;616
"Fuentes de Andalucia";Ispali;616
"Fuentes de Andalucia";Elvora;616
"Fuentes de Andalucia";Emerita;616
"Fuentes de Andalucia";Mentesa;626
"Fuentes de Andalucia";Toleto;626
"Fuentes de Andalucia";Cordoba;626
"Fuentes de Andalucia";Eliberri;626
"Fuentes de Andalucia";Ispali;626
"Fuentes de Andalucia";Tucci;626
"Fuentes de Andalucia";Emerita;626
"Fuentes de Andalucia";Bracara;626
Toletum;Ispali;616
Toletum;Toleto;626
Toletum;Tucci;626
Toletum;Emerita;626
Toletum;Cepis;626
Toletum;Acci;633
Toletum;Castilona;633
Toletum;Toleto;633
Toletum;Eliberri;633
Toletum;Tucci;633
Toletum;Bracara;633
Toletum;Mentesa;637
Toletum;Barbi;637
Toletum;Eliberri;637
Toletum;Elvora;637
Toletum;Emerita;637
Toletum;Toleto;577
Toletum;Tarracona;626
Toletum;Cordoba;626
Toletum;Tarracona;640
Toletum;Ispali;683
"Zorita de los Canes";Elvora;577
"Aquae Flaviae";Emerita;694
Caesarobriga;Elvora;569
Solsona;Barcinona;593
"Carretera de La Hermida a Potes (Cantabria)";Unknown;538
Carmo;"Unknown (Iberia)";611
"La Senda de l'Horteta";"Unknown (Iberia)";577
Valentia;Unknown;529
Baria;Unknown;429
"Hispalis/Col. Romula";"Unknown (Iberia)";504
"Hispalis/Col. Romula";"Unknown (Iberia)";522
"Hispalis/Col. Romula";"Unknown (Iberia)";546
"Hispalis/Col. Romula";"Unknown (Iberia)";504
"Hispalis/Col. Romula";"Unknown (Iberia)";522
"Hispalis/Col. Romula";"Unknown (Iberia)";546
Pollentia;Unknown;550
Pollentia;Unknown;560
Montpeó;Tarracona;593
Calpe;Unknown;375
Calpe;Unknown;425
Calpe;Unknown;382
"Rio de Loba";Tirazona;593
"Castro de Esturãos";Tirazona;593
Caesarobriga;Toleto;593
"San Cibrián das Lás, Orense";Eliberri;593
"Nisa, Portalegre, Portugal";Egitania;593
"El Raso (Candeleda, Ávila)";Elvora;593
"Villaviciosa de Córdoba";Elvora;593
"Bañolas (Gerona)";Emerita;593
"Demoura (Guarda, Portugal)";Monecipio;593
"Lousã (c. Castelo Branco, Portugal)";Monecipio;593
"Villar de Los Barrios (Ponferrada, León)";Petra;593
"Les Tres Cales";"Unknown (Iberia)";552
"Les Tres Cales";Barcinona;540
Racopel;"Unknown (Iberia)";571
Racopel;"Unknown (Iberia)";564
Racopel;"Unknown (Iberia)";552
Racopel;"Unknown (Iberia)";571
Racopel;"Unknown (Iberia)";577
Racopel;"Unknown (Iberia)";577
"La Grassa Hoard";Eliberri;593
"La Grassa Hoard";Unknown;593
"La Grassa Hoard";"Laurencio / Laure";606
"La Grassa Hoard";Tude;606
"La Grassa Hoard";Unknown;606
"La Grassa Hoard";Cesaragusta;616
"La Grassa Hoard";Ispali;616
"La Grassa Hoard";Emerita;616
"La Grassa Hoard";Unknown;616
"La Grassa Hoard";Cesaragusta;626
"La Grassa Hoard";Acci;626
"La Grassa Hoard";Toleto;626
"La Grassa Hoard";Barbi;626
"La Grassa Hoard";Coleia;626
"La Grassa Hoard";Emerita;626
"La Grassa Hoard";Astorica;626
"La Grassa Hoard";Luco;626
"La Grassa Hoard";Ventosa;626
"La Grassa Hoard";Unknown;626
"La Grassa Hoard";Toleto;633
"La Grassa Hoard";Egitania;633
"La Grassa Hoard";Emerita;633
"La Grassa Hoard";Eliberri;633
"La Grassa Hoard";Unknown;633
"La Grassa Hoard";Acci;637
"La Grassa Hoard";Castilona;637
"La Grassa Hoard";Mave;637
"La Grassa Hoard";Toleto;637
"La Grassa Hoard";Valentia;637
"La Grassa Hoard";Tucci;637
"La Grassa Hoard";Emerita;637
"La Grassa Hoard";Eminio;637
"La Grassa Hoard";Bracara;637
"La Grassa Hoard";Unknown;637
"La Grassa Hoard";Tarracona;640
"La Grassa Hoard";Beatia;640
"La Grassa Hoard";Barbi;640
"La Grassa Hoard";Barbi;640
"La Grassa Hoard";Eliberri;640
"La Grassa Hoard";Tucci;640
"La Grassa Hoard";Emerita;647
"La Grassa Hoard";Laetera;647
"La Grassa Hoard";Mave;647
"La Grassa Hoard";Saldania;647
"La Grassa Hoard";Toleto;647
"La Grassa Hoard";Cordoba;647
"La Grassa Hoard";Ispali;647
"La Grassa Hoard";Ispali;647
"La Grassa Hoard";Emerita;647
"La Grassa Hoard";Emerita;647
"La Grassa Hoard";Asturie;647
"La Grassa Hoard";Asturie;647
"La Grassa Hoard";Aurense;647
"La Grassa Hoard";Bracara;647
"La Grassa Hoard";Calapa;647
"La Grassa Hoard";Fraucello;647
"La Grassa Hoard";Luco;647
"La Grassa Hoard";Luco;647
"La Grassa Hoard";Petra;647
"La Grassa Hoard";Toriviana;647
"La Grassa Hoard";Tude;647
"La Grassa Hoard";Unknown;647
"La Grassa Hoard";Cordoba;660
Calpe;Unknown;362
Calpe;Unknown;462
Calpe;Unknown;350
Calpe;Unknown;377
Calpe;Unknown;375
Calpe;Unknown;375
Calpe;Unknown;375
Calpe;Unknown;375
Calpe;Unknown;382
Calpe;Unknown;382
Calpe;Unknown;377
Calpe;Unknown;400
Calpe;Unknown;462
Calpe;Unknown;412
Calpe;Unknown;425
Calpe;Unknown;500
"La Senda de l'Horteta";"Unknown (Iberia)";577
"Carretera de La Hermida a Potes (Cantabria)";"Unknown (Iberia)";552
"Carretera de La Hermida a Potes (Cantabria)";"Unknown (Iberia)";576
"Around Palencia";Unknown;340
"Around Palencia";Unknown;363
Fuenmayor;Unknown;342
Carmo;Nandolas;626
"Menorca, es Migjorn Gran, Spain";Unknown;600
"Menorca, es Migjorn Gran, Spain";Hispalis;600
"Los Mondragones (Granada) villa excavation";Unknown;338
"Los Mondragones (Granada) villa excavation";Unknown;334
Algeciras;Unknown;708
"Castell de la Vilavella (La Vilavella, Castelló)";Cordoba;736
"Benicató (Nules, Castelló)";Unknown;327
"Benicató (Nules, Castelló)";Unknown;330
"Benicató (Nules, Castelló)";Unknown;323
"Benicató (Nules, Castelló)";Unknown;393
"El Secanet (La Vilavella, Castelló)";Unknown;361
"Garraf (Barcelona)";Unknown;698
"Garraf (Barcelona)";Unknown;699
"Garraf (Barcelona)";Unknown;709
"Garraf (Barcelona)";Unknown;719
"Garraf (Barcelona)";Unknown;724
"Garraf (Barcelona)";Unknown;728
"Garraf (Barcelona)";Unknown;732
"Garraf (Barcelona)";Cordoba;729
"Garraf (Barcelona)";Cordoba;730
"Garraf (Barcelona)";Cordoba;732
"Garraf (Barcelona)";Cordoba;733
"Garraf (Barcelona)";Cordoba;736
"Garraf (Barcelona)";Unknown;699
"Garraf (Barcelona)";Unknown;702
"Garraf (Barcelona)";Unknown;733
"Garraf (Barcelona)";Unknown;709
"Garraf (Barcelona)";Unknown;700
"Garraf (Barcelona)";Unknown;713
"Garraf (Barcelona)";Unknown;722
"Garraf (Barcelona)";Unknown;731
"Garraf (Barcelona)";Unknown;732
Carmona;Cordoba;724
Carmona;Cordoba;726
Carmona;Cordoba;728
Carmona;Cordoba;729
Carmona;Cordoba;732
Carmona;Cordoba;733
Carmona;Cordoba;734
Carmona;Cordoba;735
Carmona;Cordoba;747
Carmona;Cordoba;749
Carmona;Cordoba;753
Carmona;Cordoba;737
Carmona;Unknown;711
Carmona;Unknown;719
"Alcaudete (Jaén)";Cordoba;733
"Montillana-Iznalloz (Granada)";Cordoba;729
"Montillana-Iznalloz (Granada)";Cordoba;738
"Montillana-Iznalloz (Granada)";Cordoba;740
"Montillana-Iznalloz (Granada)";Cordoba;753
Relleu;Cordoba;736
Relleu;Unknown;715
"near Tibi";Cordoba;736
Muchamiel;Unknown;715
Muchamiel;Cordoba;726
Fontcalent;Unknown;715
"province of Alacant";Cordoba;736
"province of Alacant";Cordoba;732
"province of Alacant";Cordoba;735
"province of Alacant";Cordoba;742
"Castillo del Río (Aspe)";Cordoba;736
"Castillo del Río (Aspe)";Unknown;760
"El Frare, Crevillent";Cordoba;736
"El Frare, Crevillent";Cordoba;736
"L'Arquet, Crevillent";Cordoba;722
Orihuela;Cordoba;736
Orihuela;Unknown;727
Baena;Cordoba;724
Baena;Cordoba;728
Baena;Cordoba;734
Baena;Cordoba;735
Baena;Cordoba;736
Baena;Cordoba;739
Baena;Cordoba;740
Baena;Cordoba;742
Baena;Cordoba;747
Baena;Cordoba;754
Baena;Cordoba;737
Baena;Unknown;704
Baena;Unknown;705
Baena;Unknown;709
Baena;Unknown;710
Baena;Unknown;711
Baena;Unknown;713
Baena;Unknown;714
Baena;Unknown;715
Baena;Unknown;716
Baena;Unknown;718
Baena;Unknown;720
Baena;Unknown;721
Baena;Unknown;723
Baena;Unknown;724
Baena;Unknown;731
Baena;Unknown;732
Baena;Unknown;734
Baena;Unknown;743
Baena;Unknown;745
Baena;Unknown;750
Baena;Unknown;726
Badajoz;Toleto;602
"S. Vincens de Obiols, Berga, Barcelona";Ispali;694
"El Saucedo Roman Villa ";Emerita;704
"El Saucedo roman villa";Toleto;593
"CÓRDOBA 2015 (CHRE-17740)";Unknown;349
"CÓRDOBA 2015 (CHRE-17740)";Unknown;371
"FUENTE ÁLAMO (CHRE-17883)";Unknown;414
"LAS HURDES (CHRE-17894)";Unknown;369
"LAS HURDES (CHRE-17894)";Unknown;371
"LAS HURDES (CHRE-17894)";Unknown;375
"LAS HURDES (CHRE-17894)";Unknown;383
"LAS HURDES (CHRE-17894)";Unknown;387
"LAS HURDES (CHRE-17894)";Unknown;387
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;335
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;350
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;350
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;407
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;414
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;378
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;383
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;375
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;371
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;335
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;338
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;335
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;350
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;343
"BRACARA AUGUSTA - CASA DE BICA (CHRE-17865)";Unknown;349
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;350
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;349
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;349
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;350
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;387
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;414
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;393
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;373
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;375
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;371
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;338
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;338
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;350
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;335
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;350
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;350
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;349
"BRACARA AUGUSTA - SEMINÁRIO CONCILIAR DE S. PEDRO E S. PAULO (CHRE-17867)";Unknown;343
"LA CUESTA (CHRE-18745)";Unknown;310
"LA CUESTA (CHRE-18745)";Unknown;349
"LA CUESTA (CHRE-18745)";Unknown;350
"LA CUESTA (CHRE-18745)";Unknown;362
"LA CUESTA (CHRE-18745)";Unknown;363
"LA CUESTA (CHRE-18745)";Unknown;375
"LA CUESTA (CHRE-18745)";Unknown;387
"LA CUESTA (CHRE-18745)";Unknown;387
"XÀBIA (CHRE-18586)";Unknown;369
"XÀBIA (CHRE-18586)";Unknown;383
"XÀBIA (CHRE-18586)";Unknown;387
"XÀBIA (CHRE-18586)";Unknown;409
"XÀBIA (CHRE-18586)";Unknown;409
"ALDEA DE PÓ (CHRE-17870)";Unknown;387
"BARALHAS (CHRE-17873)";Unknown;387
"BARALHAS (CHRE-17873)";Unknown;409
"BRAGA 1748 (CHRE-17693)";Unknown;310
"HERDADE DA RIBEIRA (CHRE-17922)";Unknown;387
"QUINTA DA BANDEIRA (CHRE-17927)";Unknown;414
"SANTA CRISTINA (CHRE-17714)";Unknown;310
"SANTA CRISTINA (CHRE-17714)";Unknown;351
"TRÓIA 1850 (CHRE-17857)";Unknown;310
"TRÓIA 1850 (CHRE-17857)";Unknown;321
"TRÓIA 1850 (CHRE-17857)";Unknown;351
"TRÓIA 1850 (CHRE-17857)";Unknown;349
"TRÓIA 1850 (CHRE-17857)";Unknown;373
"TRÓIA 1850 (CHRE-17857)";Unknown;373
"TRÓIA 1850 (CHRE-17857)";Unknown;414
"TRÓIA 1850 (CHRE-17857)";Unknown;414
"TRÓIA 1850 (CHRE-17857)";Unknown;350
"COTO (CHRE-17652)";Unknown;387
"BOAVISTA (CHRE-17715)";Unknown;335
"BIMEDA (CHRE-17745)";Unknown;349
"BIMEDA (CHRE-17745)";Unknown;362
"BIMEDA (CHRE-17745)";Unknown;369
"BIMEDA (CHRE-17745)";Unknown;375
"BIMEDA (CHRE-17745)";Unknown;321
"BIMEDA (CHRE-17745)";Unknown;321
"BIMEDA (CHRE-17745)";Unknown;321
"BIMEDA (CHRE-17745)";Unknown;343
"BIMEDA (CHRE-17745)";Unknown;349
"LANGREO (CHRE-17728)";Unknown;335
"TARRAGONA 1857 (CHRE-17910)";Unknown;409
"ABICADA (CHRE-17779)";Unknown;349
"ABICADA (CHRE-17779)";Unknown;373
"ABICADA (CHRE-17779)";Unknown;373
"ABICADA (CHRE-17779)";Unknown;414
"AGAREZ 2 (CHRE-17871)";Unknown;321
"AGAREZ 2 (CHRE-17871)";Unknown;321
"AGAREZ 2 (CHRE-17871)";Unknown;321
"AGAREZ 2 (CHRE-17871)";Unknown;321
"AGAREZ 2 (CHRE-17871)";Unknown;321
"AGAREZ 2 (CHRE-17871)";Unknown;321
"AGAREZ 2 (CHRE-17871)";Unknown;321
"AGAREZ 2 (CHRE-17871)";Unknown;343
"AGAREZ 2 (CHRE-17871)";Unknown;349
"AGAREZ 2 (CHRE-17871)";Unknown;349
"AGAREZ 2 (CHRE-17871)";Unknown;369
"AGAREZ 2 (CHRE-17871)";Unknown;371
"AGAREZ 2 (CHRE-17871)";Unknown;383
"AGAREZ 2 (CHRE-17871)";Unknown;387
"AGAREZ 2 (CHRE-17871)";Unknown;409
"AGAREZ 2 (CHRE-17871)";Unknown;409
"ALTO DOS MOIROS (CHRE-17872)";Unknown;321
"ALTO DOS MOIROS (CHRE-17872)";Unknown;401
"BRAGA - TRAVESSA DO BAIRRO (CHRE-17875)";Unknown;401
"BRAGA - TRAVESSA DO BAIRRO (CHRE-17875)";Unknown;409
"BRAGA 1896 2 (CHRE-17913)";Unknown;321
"BRAGA 1896 2 (CHRE-17913)";Unknown;439
"CASTRO DA VILA (CHRE-17791)";Unknown;369
"CASTRO DA VILA (CHRE-17791)";Unknown;349
"CASTRO DA VILA (CHRE-17791)";Unknown;371
"CASTRO DA VILA (CHRE-17791)";Unknown;409
"CASTRO DA VILA (CHRE-17791)";Unknown;409
"CASTRO DA VILA (CHRE-17791)";Unknown;387
"CASTRO DA VILA (CHRE-17791)";Unknown;375
"CASTRO DA VILA (CHRE-17791)";Unknown;373
"CASTRO DA VILA (CHRE-17791)";Unknown;321
"CASTRO DA VILA (CHRE-17791)";Unknown;350
"CASTRO DA VILA (CHRE-17791)";Unknown;321
"CASTRO DA VILA (CHRE-17791)";Unknown;350
"CASTRO DA VILA (CHRE-17791)";Unknown;349
"CASTRO DA VILA (CHRE-17791)";Unknown;343
"CASTRO DA VILA (CHRE-17791)";Unknown;349
"CASTRO DE GUIFÕES (CHRE-17797)";Unknown;349
"CASTRO DE GUIFÕES (CHRE-17797)";Unknown;333
"CASTRO DE GUIFÕES (CHRE-17797)";Unknown;350
"CASTRO DE GUIFÕES (CHRE-17797)";Unknown;349
"CASTRO DE GUIFÕES (CHRE-17797)";Unknown;373
"CASTRO DE GUIFÕES (CHRE-17797)";Unknown;414
"CASTRO DE GUIFÕES (CHRE-17797)";Unknown;321
"CASTRO DE GUIFÕES (CHRE-17797)";Unknown;321
"CASTRO DE GUIFÕES (CHRE-17797)";Unknown;338
"CASTRO DE GUIFÕES (CHRE-17797)";Unknown;328
"CITÃNIA DE SANFINS 1890 (CHRE-17671)";Unknown;343
"CITÃNIA DE SANFINS 1890 (CHRE-17671)";Unknown;350
"CITÃNIA DE SANFINS 1890 (CHRE-17671)";Unknown;349
"CITÃNIA DE SANFINS 1890 (CHRE-17671)";Unknown;321
"CITÃNIA DE SANFINS 1890 (CHRE-17671)";Unknown;321
"CITÃNIA DE SANFINS 1890 (CHRE-17671)";Unknown;321
"CITÃNIA DE SANFINS 1890 (CHRE-17671)";Unknown;321
"CITÃNIA DE SANFINS 1890 (CHRE-17671)";Unknown;321
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;383
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;349
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;371
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;371
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;414
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;350
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;387
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;387
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;387
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;343
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;349
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;349
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;335
"CIVIDADE DE TERROSO (CHRE-17813)";Unknown;338
"FERMENTÕES (CHRE-17828)";Unknown;350
"FERMENTÕES (CHRE-17828)";Unknown;349
"FERMENTÕES (CHRE-17828)";Unknown;349
"FERMENTÕES (CHRE-17828)";Unknown;387
"FERMENTÕES (CHRE-17828)";Unknown;409
"FERMENTÕES (CHRE-17828)";Unknown;393
"FERMENTÕES (CHRE-17828)";Unknown;383
"FERMENTÕES (CHRE-17828)";Unknown;371
"FERMENTÕES (CHRE-17828)";Unknown;371
"FERMENTÕES (CHRE-17828)";Unknown;335
"FERMENTÕES (CHRE-17828)";Unknown;343
"FERMENTÕES (CHRE-17828)";Unknown;343
"FERMENTÕES (CHRE-17828)";Unknown;349
"FERMENTÕES (CHRE-17828)";Unknown;349
"GESTAÇÔ (CHRE-17722)";Unknown;335
"MONTE DE MEIO (CHRE-4527)";Unknown;409
"MONTE DE MEIO (CHRE-4527)";Unknown;409
"MONTE DE MEIO (CHRE-4527)";Unknown;409
"MONTE DOS SULTOS (CHRE-17732)";Unknown;335
"PIPE (CHRE-17868)";Unknown;350
"PIPE (CHRE-17868)";Unknown;373
"PIPE (CHRE-17868)";Unknown;414
