hoard;mint;num_coins;year
Algeria;Anatolia;1;542
Tunisia;Tunisia;3;675
Tunisia;Tunisia;2;678
Tunisia;Tunisia;1;679
Tunisia;Tunisia;29;679
Tunisia;Tunisia;2;680
Tunisia;Tunisia;3;681
Tunisia;Tunisia;2;695
Tunisia;Tunisia;2;710
Britannia;Britannia;11;749
Britannia;Britannia;24;747
Britannia;Gallia;1;571
Britannia;Belgium;1;603
Britannia;Gallia;1;625
Britannia;Belgium;1;625
Britannia;Belgium;1;625
Britannia;Gallia;1;625
Britannia;"Iberian Peninsula";1;625
Britannia;"Iberian Peninsula";1;625
Britannia;"Iberian Peninsula";1;625
Britannia;"Iberian Peninsula";6;625
Britannia;Gallia;1;625
Britannia;"Iberian Peninsula";1;625
Britannia;Gallia;1;625
Britannia;"Iberian Peninsula";1;625
Britannia;Gallia;1;625
Britannia;Gallia;1;625
Britannia;Gallia;1;625
Britannia;Gallia;1;625
Britannia;Gallia;1;625
Britannia;"Iberian Peninsula";1;625
Britannia;Gallia;1;592
Britannia;"Iberian Peninsula";1;592
Britannia;Switzerland;1;625
Britannia;Gallia;1;625
Britannia;Gallia;1;625
Britannia;Germany;1;625
Britannia;Gallia;1;625
Britannia;"Iberian Peninsula";1;625
Britannia;Gallia;1;625
Britannia;"Iberian Peninsula";1;625
Britannia;Gallia;1;625
Britannia;"Iberian Peninsula";1;625
Britannia;"Iberian Peninsula";3;625
Britannia;"Iberian Peninsula";2;625
Cyprus;Anatolia;7;625
Cyprus;Anatolia;10;654
Cyprus;Anatolia;1;508
Cyprus;Anatolia;1;534
Cyprus;Greece;1;571
Cyprus;Anatolia;1;579
Cyprus;Anatolia;1;591
Cyprus;Anatolia;1;592
Cyprus;Anatolia;1;589
Cyprus;Anatolia;1;588
Cyprus;Anatolia;1;604
Cyprus;Anatolia;1;603
Cyprus;Anatolia;1;606
Cyprus;Anatolia;1;606
Cyprus;Anatolia;2;641
Cyprus;Italia;1;686
Cyprus;Anatolia;1;686
Cyprus;Anatolia;1;690
Cyprus;Anatolia;1;703
Cyprus;Anatolia;1;571
Cyprus;Anatolia;27;625
Cyprus;Anatolia;5;625
Cyprus;Anatolia;2;625
Cyprus;"Iberian Peninsula";4;550
Cyprus;"Iberian Peninsula";1;550
Cyprus;Anatolia;69;654
Cyprus;Anatolia;4;676
Cyprus;Anatolia;2;522
Cyprus;Anatolia;5;546
Cyprus;Anatolia;1;546
Cyprus;Anatolia;1;546
Cyprus;Anatolia;3;571
Cyprus;Anatolia;3;571
Cyprus;Anatolia;3;580
Cyprus;Anatolia;2;580
Cyprus;Anatolia;9;592
Cyprus;Anatolia;6;592
Cyprus;Anatolia;3;592
Cyprus;Anatolia;2;592
Cyprus;Anatolia;5;592
Cyprus;Anatolia;3;592
Cyprus;Anatolia;3;606
Cyprus;Anatolia;1;606
Cyprus;Anatolia;1;606
Cyprus;Anatolia;1;606
Cyprus;Anatolia;1;625
Cyprus;Anatolia;25;550
Cyprus;"Iberian Peninsula";2;550
Netherlands;Anatolia;1;522
Netherlands;Anatolia;2;546
Netherlands;Anatolia;1;592
Netherlands;Anatolia;1;606
Netherlands;Anatolia;2;625
Netherlands;"Iberian Peninsula";1;504
Netherlands;"Iberian Peninsula";1;546
Netherlands;"Iberian Peninsula";1;571
Netherlands;"Iberian Peninsula";1;568
Netherlands;Gallia;1;571
Netherlands;Gallia;1;580
Netherlands;Gallia;10;606
Netherlands;Gallia;1;606
Netherlands;Netherlands;2;550
Bulgaria;Anatolia;1;343
Bulgaria;Anatolia;1;349
Bulgaria;Italia;2;349
Bulgaria;Croatia;1;369
Bulgaria;Italia;1;371
Bulgaria;Egypt;1;383
Bulgaria;Italia;1;383
Bulgaria;Italia;2;387
Bulgaria;Italia;9;362
Bulgaria;Anatolia;1;399
Bulgaria;Italia;2;401
Bulgaria;Anatolia;1;409
Bulgaria;Italia;5;409
Bulgaria;Anatolia;1;465
Bulgaria;Anatolia;1;450
Bulgaria;Anatolia;3;514
Bulgaria;Anatolia;1;502
Bulgaria;Anatolia;2;514
Bulgaria;Anatolia;3;522
Bulgaria;Anatolia;2;522
Bulgaria;Anatolia;1;522
Bulgaria;Anatolia;1;522
Bulgaria;Anatolia;1;546
Bulgaria;Anatolia;1;542
Bulgaria;Anatolia;1;532
Bulgaria;Anatolia;1;539
Bulgaria;Anatolia;1;554
Bulgaria;Anatolia;1;551
Bulgaria;Anatolia;1;562
Bulgaria;Anatolia;1;557
Bulgaria;Anatolia;1;539
Bulgaria;Anatolia;1;541
Bulgaria;Anatolia;1;551
Bulgaria;Anatolia;1;545
Bulgaria;Anatolia;1;561
Bulgaria;Anatolia;4;546
Bulgaria;Anatolia;1;568
Bulgaria;Anatolia;2;571
Bulgaria;Anatolia;2;572
Bulgaria;Anatolia;1;573
Bulgaria;Anatolia;1;571
Bulgaria;Anatolia;1;570
Bulgaria;Anatolia;2;571
Bulgaria;Anatolia;2;571
Bulgaria;Greece;1;568
Bulgaria;Greece;1;573
Bulgaria;Greece;1;576
Bulgaria;Greece;1;571
Bulgaria;Anatolia;1;567
Bulgaria;Anatolia;1;569
Bulgaria;Anatolia;1;570
Bulgaria;Anatolia;1;567
Bulgaria;Greece;1;580
Bulgaria;Anatolia;1;578
Bulgaria;Anatolia;1;580
Bulgaria;Anatolia;1;584
Bulgaria;Anatolia;1;589
Bulgaria;Anatolia;1;595
Bulgaria;Anatolia;1;589
Bulgaria;Anatolia;1;590
Bulgaria;Anatolia;1;591
Bulgaria;Anatolia;1;594
Bulgaria;Greece;1;586
Bulgaria;Greece;1;587
Bulgaria;Greece;1;589
Bulgaria;Greece;1;582
Bulgaria;Greece;2;592
Bulgaria;Anatolia;1;595
Bulgaria;Anatolia;1;585
Bulgaria;Russia;1;592
Bulgaria;Anatolia;2;607
Bulgaria;Anatolia;1;606
Bulgaria;Anatolia;1;607
Bulgaria;Anatolia;1;605
Bulgaria;Anatolia;1;604
Bulgaria;Anatolia;1;606
Bulgaria;Anatolia;1;605
Bulgaria;Anatolia;1;606
Bulgaria;Anatolia;1;606
Bulgaria;Anatolia;2;612
Bulgaria;Anatolia;1;625
Bulgaria;Anatolia;3;612
Bulgaria;Anatolia;1;613
Bulgaria;Anatolia;1;613
Bulgaria;Anatolia;1;625
Gallia;Germany;2;371
Gallia;Italia;1;398
Gallia;Germany;1;390
Gallia;Germany;1;376
Gallia;Germany;1;385
Gallia;Italia;1;393
Gallia;Italia;1;395
Gallia;Italia;1;395
Gallia;Italia;1;397
Gallia;Italia;1;393
Gallia;Germany;1;393
Gallia;Germany;2;371
Gallia;"Unknown mintner-10";1;379
Gallia;Gallia;1;409
Gallia;Gallia;1;360
Gallia;Gallia;2;409
Gallia;Gallia;1;410
Gallia;Italia;1;325
Gallia;Italia;1;332
Gallia;Italia;1;332
Gallia;Gallia;1;341
Gallia;"Iberian Peninsula";1;368
Gallia;Anatolia;1;344
Gallia;Italia;1;353
Gallia;Gallia;1;356
Gallia;Gallia;1;356
Gallia;Italia;1;360
Gallia;Gallia;1;363
Gallia;Gallia;1;371
Gallia;Italia;1;371
Gallia;Italia;2;372
Gallia;Italia;1;372
Gallia;Gallia;1;371
Gallia;Gallia;1;385
Gallia;Italia;1;336
Gallia;Italia;1;363
Gallia;Italia;3;395
Gallia;Italia;2;382
Gallia;Italia;1;339
Gallia;Italia;1;390
Gallia;Italia;2;399
Gallia;Gallia;1;380
Gallia;Italia;5;395
Gallia;Italia;3;344
Gallia;Italia;1;359
Gallia;Italia;1;349
Gallia;Gallia;1;356
Gallia;Italia;1;363
Gallia;Italia;1;338
Gallia;"Iberian Peninsula";1;377
Gallia;Italia;1;339
Gallia;Gallia;1;333
Gallia;Italia;1;355
Gallia;Anatolia;1;356
"Iberian Peninsula";"Iberian Peninsula";1;550
"Iberian Peninsula";"Iberian Peninsula";6;569
"Iberian Peninsula";"Iberian Peninsula";4;569
"Iberian Peninsula";"Iberian Peninsula";6;577
"Iberian Peninsula";"Iberian Peninsula";3;577
"Iberian Peninsula";"Iberian Peninsula";2;695
"Iberian Peninsula";"Iberian Peninsula";3;695
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";1;683
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";1;683
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";1;577
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";1;593
"Iberian Peninsula";"Iberian Peninsula";1;660
"Iberian Peninsula";"Iberian Peninsula";1;660
"Iberian Peninsula";"Iberian Peninsula";1;676
"Iberian Peninsula";"Iberian Peninsula";2;676
"Iberian Peninsula";"Iberian Peninsula";2;676
"Iberian Peninsula";Gallia;1;683
"Iberian Peninsula";"Iberian Peninsula";1;683
"Iberian Peninsula";"Iberian Peninsula";2;683
"Iberian Peninsula";"Iberian Peninsula";1;683
"Iberian Peninsula";"Iberian Peninsula";1;683
"Iberian Peninsula";"Iberian Peninsula";1;683
"Iberian Peninsula";"Iberian Peninsula";5;683
"Iberian Peninsula";Gallia;1;694
"Iberian Peninsula";"Iberian Peninsula";1;694
"Iberian Peninsula";"Iberian Peninsula";2;694
"Iberian Peninsula";"Iberian Peninsula";8;694
"Iberian Peninsula";"Iberian Peninsula";1;694
"Iberian Peninsula";"Iberian Peninsula";1;694
"Iberian Peninsula";"Iberian Peninsula";1;694
"Iberian Peninsula";"Iberian Peninsula";3;694
"Iberian Peninsula";"Iberian Peninsula";1;694
"Iberian Peninsula";"Iberian Peninsula";1;694
"Iberian Peninsula";Gallia;3;698
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";6;698
"Iberian Peninsula";"Iberian Peninsula";3;698
"Iberian Peninsula";"Iberian Peninsula";9;698
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";6;698
"Iberian Peninsula";"Iberian Peninsula";6;698
"Iberian Peninsula";"Iberian Peninsula";2;698
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";5;698
"Iberian Peninsula";"Iberian Peninsula";2;698
"Iberian Peninsula";"Iberian Peninsula";3;695
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";3;704
"Iberian Peninsula";"Iberian Peninsula";5;704
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";2;704
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";2;704
"Iberian Peninsula";"Iberian Peninsula";4;704
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";1;683
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";2;704
"Iberian Peninsula";"Iberian Peninsula";3;694
"Iberian Peninsula";"Iberian Peninsula";1;694
"Iberian Peninsula";"Iberian Peninsula";2;698
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";1;698
"Iberian Peninsula";"Iberian Peninsula";3;704
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";1;704
"Iberian Peninsula";"Iberian Peninsula";1;712
"Iberian Peninsula";"Iberian Peninsula";2;712
Cyprus;Anatolia;5;527
Cyprus;Anatolia;1;527
Cyprus;Anatolia;1;527
Cyprus;Anatolia;4;527
Cyprus;Anatolia;2;571
Cyprus;Anatolia;1;571
Cyprus;Anatolia;2;571
Cyprus;Anatolia;5;571
Cyprus;Anatolia;24;625
Cyprus;Greece;1;625
Cyprus;Anatolia;36;630
Cyprus;Anatolia;8;627
Cyprus;Anatolia;4;611
Cyprus;Anatolia;9;625
Cyprus;Anatolia;2;654
Cyprus;Anatolia;12;625
Cyprus;Palestine;2;625
Cyprus;Anatolia;9;654
Cyprus;Anatolia;1;648
Cyprus;Anatolia;1;592
Cyprus;Anatolia;1;592
Cyprus;Anatolia;44;625
Cyprus;Anatolia;1;625
Cyprus;Anatolia;41;641
Cyprus;Anatolia;2;654
Cyprus;Anatolia;2;625
Cyprus;Anatolia;56;654
Cyprus;Anatolia;32;654
Cyprus;Anatolia;15;654
Cyprus;Anatolia;27;654
Cyprus;Anatolia;47;654
Cyprus;Anatolia;15;641
Cyprus;Italia;2;337
Cyprus;"Iberian Peninsula";1;395
Cyprus;"Iberian Peninsula";2;395
Cyprus;"Iberian Peninsula";1;402
Cyprus;"Iberian Peninsula";1;582
Cyprus;"Iberian Peninsula";1;527
Cyprus;"Iberian Peninsula";1;625
Cyprus;"Iberian Peninsula";1;625
Cyprus;Anatolia;3;625
Cyprus;"Iberian Peninsula";1;625
Cyprus;"Iberian Peninsula";1;371
Cyprus;Anatolia;1;625
Cyprus;Anatolia;1;592
Cyprus;"Iberian Peninsula";1;625
Cyprus;Anatolia;1;625
Cyprus;"Iberian Peninsula";1;641
Cyprus;Anatolia;1;401
Cyprus;"Iberian Peninsula";1;546
Cyprus;Anatolia;1;527
Cyprus;Anatolia;1;625
Cyprus;Anatolia;1;625
Cyprus;Anatolia;2;625
Cyprus;Anatolia;1;625
Cyprus;"Iberian Peninsula";1;625
Cyprus;Anatolia;2;654
Cyprus;Anatolia;1;375
Cyprus;Anatolia;1;409
Cyprus;Anatolia;1;401
Cyprus;Anatolia;1;465
Cyprus;Tunisia;2;450
Cyprus;"Iberian Peninsula";1;546
Cyprus;Anatolia;1;592
Cyprus;Anatolia;1;592
Cyprus;Anatolia;2;625
Cyprus;Egypt;1;625
Cyprus;Anatolia;3;654
Cyprus;"Iberian Peninsula";2;369
Cyprus;"Iberian Peninsula";2;379
Cyprus;"Iberian Peninsula";2;350
Cyprus;"Iberian Peninsula";1;343
Cyprus;"Iberian Peninsula";4;450
Cyprus;"Iberian Peninsula";1;625
Italia;Italia;1;650
Italia;Italia;1;650
Italia;Italia;1;650
Italia;Italia;1;650
Italia;Italia;1;650
Italia;Italia;1;650
Italia;Italia;1;625
Italia;Italia;1;654
Italia;Italia;3;676
Italia;Italia;13;690
Italia;Italia;20;696
Italia;Italia;23;701
Italia;Italia;2;712
Cyprus;"Iberian Peninsula";1;306
Cyprus;Gallia;1;321
Cyprus;Anatolia;1;321
Cyprus;"Iberian Peninsula";1;306
Cyprus;Anatolia;1;337
Cyprus;Anatolia;1;343
Cyprus;Anatolia;1;349
Cyprus;"Iberian Peninsula";1;349
Cyprus;"Iberian Peninsula";1;337
Cyprus;"Iberian Peninsula";6;337
Cyprus;Anatolia;1;337
Cyprus;"Iberian Peninsula";2;337
Cyprus;"Iberian Peninsula";1;369
Cyprus;Anatolia;1;383
Cyprus;Anatolia;1;387
Cyprus;"Iberian Peninsula";3;379
Cyprus;Anatolia;1;387
Cyprus;Anatolia;1;379
Cyprus;"Iberian Peninsula";1;401
Cyprus;Anatolia;1;401
Cyprus;"Iberian Peninsula";1;395
Cyprus;Anatolia;1;395
Cyprus;Anatolia;1;395
Cyprus;"Iberian Peninsula";1;395
Cyprus;Anatolia;1;395
Cyprus;"Iberian Peninsula";1;395
Cyprus;Anatolia;1;426
Cyprus;Anatolia;1;426
Cyprus;"Iberian Peninsula";1;409
Cyprus;"Iberian Peninsula";1;426
Cyprus;Anatolia;1;453
Cyprus;"Iberian Peninsula";1;465
Cyprus;"Iberian Peninsula";1;465
Cyprus;Anatolia;3;504
Cyprus;Anatolia;1;504
Cyprus;Anatolia;2;491
Cyprus;Anatolia;1;504
Cyprus;Anatolia;1;522
Cyprus;Anatolia;3;522
Cyprus;Anatolia;3;522
Cyprus;Anatolia;1;518
Cyprus;Anatolia;2;546
Cyprus;Anatolia;1;546
Cyprus;Anatolia;3;546
Cyprus;Anatolia;1;546
Cyprus;Anatolia;1;546
Cyprus;Anatolia;1;546
Cyprus;Anatolia;1;546
Cyprus;Anatolia;1;546
Cyprus;Egypt;1;546
Cyprus;"Iberian Peninsula";1;546
Cyprus;Anatolia;4;571
Cyprus;Anatolia;1;571
Cyprus;Anatolia;3;571
Cyprus;Anatolia;1;571
Cyprus;Anatolia;1;571
Cyprus;Anatolia;2;571
Cyprus;Egypt;1;571
Cyprus;Anatolia;2;580
Cyprus;Anatolia;1;580
Cyprus;Anatolia;1;578
Cyprus;Anatolia;2;580
Cyprus;Anatolia;1;580
Cyprus;Anatolia;2;580
Cyprus;Anatolia;5;592
Cyprus;Anatolia;10;592
Cyprus;Anatolia;2;592
Cyprus;Anatolia;1;592
Cyprus;Greece;8;592
Cyprus;Greece;1;592
Cyprus;Anatolia;2;592
Cyprus;Anatolia;2;592
Cyprus;Anatolia;2;592
Cyprus;Anatolia;1;592
Cyprus;Anatolia;13;592
Cyprus;Anatolia;6;592
Cyprus;Anatolia;6;592
Cyprus;Egypt;1;592
Cyprus;"Iberian Peninsula";1;592
Cyprus;Anatolia;1;602
Cyprus;Anatolia;8;606
Cyprus;Anatolia;6;606
Cyprus;Anatolia;2;606
Cyprus;Anatolia;1;606
Cyprus;Syria;2;606
Cyprus;Anatolia;1;606
Cyprus;Anatolia;2;606
Cyprus;Egypt;1;606
Cyprus;Anatolia;1;610
Cyprus;Anatolia;6;625
Cyprus;Anatolia;29;610
Cyprus;Anatolia;10;610
Cyprus;Anatolia;6;625
Cyprus;Anatolia;116;610
Cyprus;Anatolia;5;625
Cyprus;Anatolia;12;625
Cyprus;Anatolia;68;610
Cyprus;Anatolia;14;625
Cyprus;Greece;8;625
Cyprus;Greece;2;625
Cyprus;Anatolia;6;625
Cyprus;Anatolia;2;625
Cyprus;Anatolia;1;625
Cyprus;Cyprus;2;625
Cyprus;Egypt;2;625
Cyprus;"Iberian Peninsula";14;625
Cyprus;"Iberian Peninsula";3;625
Italia;Italia;1;390
Italia;Tunisia;1;425
Italia;Italia;1;439
Italia;Anatolia;1;453
Italia;Anatolia;2;465
Italia;Anatolia;1;457
