hoard;mint;num_coins;year
Italy;Turkey;18;434
Italy;Turkey;2;413
Italy;Turkey;11;444
Italy;Italy;1;440
Italy;Italy;1;440
Italy;Turkey;6;453
Italy;Turkey;1;451
Turkey;Turkey;1;542
Turkey;Turkey;1;544
Turkey;Turkey;1;545
Turkey;Turkey;1;543
Turkey;Turkey;1;558
Turkey;Turkey;1;550
Turkey;Turkey;3;555
Turkey;Turkey;1;551
Turkey;Turkey;1;557
Turkey;Turkey;1;564
Turkey;Turkey;1;538
Turkey;Turkey;1;560
Turkey;Turkey;1;551
Turkey;Turkey;1;557
Turkey;Turkey;2;565
Turkey;Turkey;1;566
Turkey;Turkey;1;568
Turkey;Turkey;2;570
Turkey;Turkey;1;571
Turkey;Turkey;2;573
Turkey;Turkey;3;574
Turkey;Turkey;2;570
Turkey;Turkey;1;573
Turkey;Turkey;1;574
Turkey;Turkey;2;576
Turkey;Turkey;2;566
Turkey;Turkey;2;569
Turkey;Turkey;3;571
Turkey;Turkey;2;572
Turkey;Turkey;1;573
Turkey;Turkey;1;574
Turkey;Turkey;1;575
Turkey;Turkey;1;579
Turkey;Turkey;1;580
Turkey;Turkey;3;581
Turkey;Turkey;2;581
Turkey;Turkey;1;580
Turkey;Turkey;2;582
Turkey;Turkey;3;583
Turkey;Turkey;1;584
Turkey;Turkey;5;335
Turkey;Turkey;4;335
Turkey;Turkey;10;343
Turkey;Turkey;1;343
Turkey;Turkey;2;343
Turkey;Turkey;5;343
Turkey;Turkey;5;343
Turkey;Turkey;30;343
"Unknown hoard-0";Greece;1;349
"Unknown hoard-1";Italy;1;369
"Unknown hoard-2";Italy;1;369
Turkey;Turkey;2;343
Turkey;Italy;1;335
Turkey;Greece;1;343
Turkey;Turkey;1;335
Turkey;Turkey;1;335
Turkey;Turkey;4;343
Turkey;Turkey;1;343
Turkey;Turkey;1;343
Turkey;Turkey;1;335
Turkey;Turkey;5;343
Turkey;Turkey;1;343
Turkey;Turkey;2;335
Turkey;Turkey;3;343
Turkey;Turkey;1;343
Turkey;Turkey;1;343
Turkey;Egypt;1;335
Turkey;Egypt;1;343
Turkey;Egypt;1;343
Turkey;Egypt;2;343
Turkey;"Unknown mintner-0";1;335
Turkey;"Unknown mintner-1";3;335
Turkey;"Unknown mintner-2";21;343
Turkey;"Unknown mintner-3";1;343
Turkey;"Unknown mintner-4";1;343
Turkey;"Unknown mintner-5";1;343
Turkey;"Unknown mintner-6";9;343
Turkey;"Unknown mintner-7";13;343
Turkey;"Unknown mintner-8";14;343
Turkey;"Unknown mintner-9";3;343
Italy;Greece;1;390
Italy;Italy;9;398
Italy;Italy;20;408
Italy;Turkey;1;344
Italy;Italy;2;440
Italy;Italy;5;440
Italy;Turkey;3;453
Italy;Turkey;2;453
Italy;Turkey;2;453
Italy;Turkey;1;453
Italy;Turkey;2;465
Italy;Turkey;3;465
Italy;Turkey;1;465
Italy;Turkey;2;465
Italy;Turkey;2;465
Italy;Turkey;2;465
Italy;Turkey;5;465
Italy;Turkey;1;465
Italy;Turkey;6;465
Italy;Italy;1;463
Italy;Spain;1;463
Italy;Italy;4;467
Italy;Italy;7;467
Italy;Italy;334;469
Italy;Italy;10;469
Italy;Italy;5;409
Italy;Italy;33;409
Italy;Italy;16;409
Italy;Italy;5;401
Italy;Italy;5;401
Italy;Italy;4;401
Italy;Italy;1;351
Italy;Italy;1;353
Italy;Italy;1;358
Italy;Italy;1;358
Italy;France;1;380
Italy;Italy;1;437
Italy;Italy;1;546
Italy;Italy;1;580
Italy;Italy;3;625
Netherlands;Turkey;1;482
Netherlands;Turkey;1;522
Netherlands;Turkey;1;546
Netherlands;Turkey;2;592
Netherlands;France;1;572
Netherlands;France;1;520
Netherlands;France;2;572
Netherlands;France;1;592
Netherlands;France;1;592
Netherlands;France;1;592
Netherlands;Germany;6;630
Netherlands;Germany;6;630
Netherlands;Netherlands;5;630
Netherlands;Netherlands;4;630
Netherlands;Netherlands;1;630
Netherlands;France;1;572
Netherlands;France;1;630
Netherlands;Belgium;1;630
Netherlands;Netherlands;2;630
Netherlands;Netherlands;2;553
Netherlands;Netherlands;3;615
Netherlands;France;14;630
Netherlands;France;1;630
Netherlands;France;1;630
Netherlands;France;2;630
Netherlands;Switzerland;1;630
Netherlands;France;1;630
Egypt;Italy;1;323
Egypt;Italy;1;322
Egypt;Italy;1;322
Egypt;Turkey;1;327
Egypt;Turkey;3;327
Egypt;Turkey;1;327
Egypt;Turkey;3;327
Egypt;Turkey;2;327
Egypt;Egypt;1;327
Egypt;Turkey;1;332
"Unknown hoard-3";Turkey;6;332
Egypt;Turkey;2;332
Egypt;Turkey;4;332
Egypt;Egypt;5;332
Egypt;Turkey;1;336
Egypt;Egypt;4;339
Egypt;Egypt;1;349
Egypt;Egypt;61;369
Egypt;Egypt;44;369
Israel;Egypt;1;343
Israel;Italy;1;361
Israel;Turkey;1;508
Israel;Turkey;1;522
Israel;Syria;1;673
Israel;Syria;1;744
Italy;Italy;1;343
Italy;Italy;1;369
Italy;Italy;1;385
Italy;Croatia;1;365
Italy;Italy;1;371
Italy;Croatia;1;385
Italy;Turkey;1;390
Italy;Tunisia;1;484
Italy;Tunisia;1;592
Italy;Italy;1;625
Italy;Italy;1;329
Italy;Italy;1;373
Italy;Greece;1;385
Italy;Italy;1;459
Italy;Italy;2;533
Italy;Italy;2;533
Italy;Italy;1;538
Italy;Spain;2;412
Spain;Turkey;1;546
Spain;Turkey;1;592
Spain;Spain;1;592
Romania;Turkey;1;514
Tunisia;Turkey;1;465
Tunisia;Turkey;1;483
Tunisia;Turkey;1;512
Tunisia;Turkey;5;504
Tunisia;Turkey;1;522
Tunisia;Turkey;14;522
Tunisia;Turkey;1;527
Tunisia;Turkey;4;534
Tunisia;Turkey;23;546
Tunisia;Italy;1;409
Tunisia;France;1;482
Tunisia;Turkey;1;547
Tunisia;Turkey;2;572
Tunisia;Tunisia;2;572
Algeria;Turkey;1;542
Tunisia;Tunisia;3;675
Tunisia;Tunisia;2;678
Tunisia;Tunisia;1;679
Tunisia;Tunisia;29;679
Tunisia;Tunisia;2;680
Tunisia;Tunisia;3;681
Tunisia;Tunisia;2;695
Tunisia;Tunisia;2;710
"United Kingdom";"United Kingdom";11;749
"United Kingdom";"United Kingdom";24;747
"United Kingdom";Germany;1;440
"United Kingdom";Italy;1;440
"United Kingdom";Italy;1;469
"United Kingdom";France;1;571
"United Kingdom";Belgium;1;603
"United Kingdom";France;1;625
"United Kingdom";Belgium;1;625
"United Kingdom";Belgium;1;625
"United Kingdom";France;1;625
"United Kingdom";Spain;1;625
"United Kingdom";Spain;1;625
"United Kingdom";Spain;1;625
"United Kingdom";Spain;6;625
"United Kingdom";France;1;625
"United Kingdom";Spain;1;625
"United Kingdom";France;1;625
"United Kingdom";Spain;1;625
"United Kingdom";France;1;625
"United Kingdom";France;1;625
"United Kingdom";France;1;625
"United Kingdom";France;1;625
"United Kingdom";France;1;625
"United Kingdom";Spain;1;625
"United Kingdom";France;1;592
"United Kingdom";Spain;1;592
"United Kingdom";Switzerland;1;625
"United Kingdom";France;1;625
"United Kingdom";France;1;625
"United Kingdom";Germany;1;625
"United Kingdom";France;1;625
"United Kingdom";Spain;1;625
"United Kingdom";France;1;625
"United Kingdom";Spain;1;625
"United Kingdom";France;1;625
"United Kingdom";Spain;1;625
"United Kingdom";Spain;3;625
"United Kingdom";Spain;2;625
Cyprus;Turkey;7;625
Cyprus;Turkey;10;654
Cyprus;Turkey;1;508
Cyprus;Turkey;1;534
Cyprus;Greece;1;571
Cyprus;Turkey;1;579
Cyprus;Turkey;1;591
Cyprus;Turkey;1;592
Cyprus;Turkey;1;589
Cyprus;Turkey;1;588
"Unknown hoard-4";Turkey;1;580
Cyprus;Turkey;1;604
Cyprus;Turkey;1;603
Cyprus;Turkey;1;606
Cyprus;Turkey;1;606
Cyprus;Turkey;2;641
Cyprus;Italy;1;686
Cyprus;Turkey;1;686
Cyprus;Turkey;1;690
Cyprus;Turkey;1;703
Cyprus;Turkey;1;571
