link_density;year
0.207547;284
0.207547;285
0.207547;286
0.207547;287
0.207547;288
0.207547;289
0.207547;290
0.207547;291
0.207547;292
0.207547;293
0.207547;294
0.207547;295
0.207547;296
0.207547;297
0.207547;298
0.207547;299
0.207547;300
0.207547;301
0.207547;302
0.207547;303
0.207547;304
0.207547;305
4.9648839017;306
4.9648839017;307
4.9648839017;308
4.9648839017;309
4.9648839017;310
4.9648839017;311
4.9648839017;312
4.9648839017;313
4.9648839017;314
4.9648839017;315
4.9648839017;316
4.9648839017;317
4.9648839017;318
4.9648839017;319
4.9648839017;320
4.9648839017;321
4.9648839017;322
4.9648839017;323
5.214883902;324
5.248217235;325
5.248217235;326
6.248217235;327
6.248217235;328
4.998217235;329
6.048217235;330
5.048217235;331
5.048217235;332
5.548217235;333
5.548217235;334
5.614883902;335
5.114883902;336
26.8673767791453;337
22.853377996;338
22.853377996;339
22.853377996;340
15.15729957;341
15.15729957;342
15.15729957;343
15.15729957;344
15.15729957;345
15.15729957;346
15.15729957;347
15.23422264;348
15.23422264;349
26.960889309;350
21.7676147261;351
21.7676147261;352
21.7676147261;353
11.1009480594;354
11.1453925039;355
11.1453925039;356
11.1453925039;357
11.1453925039;358
11.1453925039;359
11.4787258372;360
14.4787258372;361
7.120742154;362
8.454075488;363
12.841919283899;364
8.9670789263;365
8.9670789263;366
12.77018043006;367
12.77018043006;368
12.77018043006;369
12.77018043006;370
12.77018043006;371
12.77018043006;372
12.77018043006;373
12.77018043006;374
15.862337292804;375
12.4370342625;376
12.4370342625;377
12.4370342625;378
18.46979706186814;379
18.46979706186814;380
18.46979706186814;381
18.46979706186814;382
26.26979706186814;383
20.680981272394459;384
20.680981272394459;385
20.680981272394459;386
20.680981272394459;387
20.880981272394459;388
13.033362224775412;389
13.033362224775412;390
13.033362224775412;391
14.366695558108745;392
11.16501488583984;393
10.96501488583984;394
12.414515385340337;395
3.393682052007;396
3.393682052007;397
3.393682052007;398
3.393682052007;399
3.413682052007;400
3.1717546143653;401
3.19258794769861;402
3.19258794769861;403
3.19258794769861;404
3.19258794769861;405
3.1662721582249;406
3.1662721582249;407
3.1662721582249;408
3.0243623439;409
4.0243623439;410
4.0243623439;411
2.5243623439;412
2.5243623439;413
2.5243623439;414
2.5243623439;415
2.5243623439;416
2.5243623439;417
2.5243623439;418
2.5243623439;419
2.5243623439;420
2.5243623439;421
2.5243623439;422
2.5243623439;423
0.60511223917;424
0.618445573;425
0.5984455725;426
0.5984455725;427
0.5984455725;428
0.5984455725;429
0.5984455725;430
0.5984455725;431
0.5984455725;432
0.5984455725;433
0.5984455725;434
0.5984455725;435
0.5984455725;436
0.5984455725;437
0.5984455725;438
0.5984455725;439
0.5984455725;440
0.5984455725;441
0.5984455725;442
0.5984455725;443
0.5984455725;444
0.5984455725;445
0.5984455725;446
0.5984455725;447
0.5984455725;448
0.5984455725;449
0.5984455725;450
0.077849;451
0.077849;452
0.077849;453
0.077849;454
0.077849;455
0.013333;456
0.013333;457
0.013333;458
0.013333;459
0.013333;460
0.013333;461
0.013333;462
0.013333;463
0.013333;464
0.013333;465
0.013333;466
0.013333;467
0.013333;468
0.013333;469
0.013333;470
0.013333;471
0.013333;472
0.013333;473
0.013333;474
