Country;ID;location_title
Egypt;1;"Alexandria ad Aegyptum"
Tunisia;2;Carthago
Italy;3;Roma
Cyprus;4;Salamis-Konstantia
Italy;5;Ravenna
Italy;6;Ticinum
Italy;7;Mediolanum
Italy;9;Benevento
Italy;10;Catania
Italy;11;Neapolis
Italy;12;Syracusae
Italy;13;Sardinia
"United Kingdom";14;Londinium
"United Kingdom";15;Durovernum
"United Kingdom";16;Eburacum
Germany;17;"Colonia Augusta Treverorum"
France;18;Ambianum
Greece;19;Thessalonika
Italy;20;Lucca
Italy;21;Pisa
Italy;22;Pistoia
Turkey;52;Nikomedia
Turkey;53;Kyzikos
Serbia;54;Sirmium
Turkey;66;Antioch
Croatia;67;Siscia
Turkey;68;Heraclea
Spain;69;Cesaragusta
Spain;70;Tirazona
Spain;71;Calagorre
Spain;72;Lebea
Spain;73;Tarracona
Spain;74;Gerunda
Spain;75;Barcinona
Spain;76;Rodas
Spain;77;Dertosa
Spain;78;Sagunto
Spain;79;Cestavi
Spain;80;Volotania
Spain;81;Labeclosa
Spain;82;Toleto
Spain;83;Recopoli
Spain;84;Valentia
Spain;85;Mentesa
Spain;86;Acci
Spain;87;Castilona
Spain;88;Beatia
Spain;89;Iliocrici
Spain;90;Aorariola
Spain;91;Mave
Spain;92;Saldania
Spain;93;Oliovasio
Spain;94;Ispali
Spain;95;Italica
Spain;96;Karmona
Spain;97;Roda
Spain;98;Cordoba
Spain;100;Tucci
Spain;101;Eliberri
Spain;102;Asidona
Spain;103;Barbi
Spain;104;Malaka
Spain;105;Emerita
Spain;106;Elvora
Portugal;107;Olisipona
Portugal;108;Lameco
Portugal;109;Eminio
Portugal;110;Veseo
Portugal;111;Totela
Portugal;112;Coleia
Portugal;113;Caliabria
Portugal;114;Egitania
Portugal;115;Monecipio
Spain;116;Salmantica
Portugal;117;Bracara
Portugal;118;Bergancia
Portugal;119;Flavas
Portugal;120;Laetera
Portugal;121;Palantucio
Portugal;122;Panonias
Portugal;123;Turico
Portugal;125;Aliobrio
Portugal;126;Cepis
Portugal;127;"Laurencio / Laure"
Portugal;128;Nandolas
Portugal;129;Palentiaca
Portugal;130;Toriviana
Spain;132;Luco
Spain;133;Inceio
Spain;134;Aurense
Spain;135;Calapa
Spain;136;Cassavio
Spain;137;Georres
Spain;138;Pincia
Spain;139;Senabria
Spain;140;Susarres
Spain;141;Astorica
Spain;142;Bergio
Spain;143;Fraucello
Spain;144;Leione
Spain;145;Pesicos
Spain;146;Petra
Spain;147;Semure
Spain;148;Ventosa
Spain;149;Conteno
Spain;150;Mertia
Spain;151;Catora
Spain;152;Tude
Portugal;153;Tornio
Portugal;154;Adonis
Spain;155;Amiasios
