hoard;mint;year
35;201;434
35;201;413
35;201;444
35;5;440
35;3;440
35;201;453
35;201;451
36;201;542
36;201;544
36;201;545
36;52;543
36;52;558
36;53;550
36;53;555
36;66;551
36;66;557
36;66;564
36;201;538
36;201;560
36;66;551
36;66;557
36;201;565
36;201;566
36;201;568
36;201;570
36;201;571
36;201;573
36;201;574
36;52;570
36;52;573
36;52;574
36;52;576
36;66;566
36;66;569
36;66;571
36;66;572
36;66;573
36;66;574
36;66;575
36;66;579
36;66;580
36;66;581
36;52;581
36;52;580
36;66;582
36;66;583
36;66;584
37;66;335
37;66;335
37;66;343
37;66;343
37;66;343
37;66;343
37;66;343
37;66;343
;19;349
;3;369
;3;369
;;571
;;464
;;530
;;535
;;509
37;66;343
37;3;335
37;19;343
37;201;335
37;201;335
37;201;343
37;201;343
37;68;343
37;52;335
37;52;343
37;52;343
37;53;335
37;53;343
37;53;343
37;53;343
37;1;335
37;1;343
37;1;343
37;1;343
37;;335
37;;335
37;;343
37;;343
37;;343
37;;343
37;;343
37;;343
37;;343
37;;343
42;19;390
42;7;398
42;7;408
43;52;344
43;3;440
43;5;440
43;201;453
43;201;453
43;201;453
43;201;453
43;201;465
43;201;465
43;201;465
43;201;465
43;201;465
43;201;465
43;201;465
43;201;465
43;201;465
43;5;463
43;266;463
43;7;467
43;3;467
43;3;469
43;3;469
44;7;409
44;3;409
44;5;409
44;7;401
44;3;401
44;5;401
46;3;351
46;3;353
46;3;358
46;3;358
46;174;380
46;4213;437
46;5;546
;;571
46;3;580
;;606
46;4613;625
47;201;482
47;201;522
47;201;546
47;201;592
47;273;572
47;3813;520
47;3813;572
47;283;592
47;174;592
47;232;592
47;541;630
47;930;630
47;931;630
47;931;630
47;931;630
47;256;572
47;3813;630
47;545;630
47;543;630
47;549;553
47;549;615
47;3813;630
47;531;630
47;932;630
47;456;630
47;255;630
47;618;630
48;6;323
48;3;322
48;171;322
48;68;327
48;52;327
48;53;327
48;66;327
48;66;327
48;1;327
48;68;332
;201;332
48;52;332
48;66;332
48;1;332
48;66;336
48;1;339
48;1;349
49;1;369
49;1;369
50;1;343
50;4213;361
50;201;508
50;201;522
50;329;673
50;329;744
51;4213;343
51;4213;369
51;4613;385
51;67;365
51;4213;371
51;67;385
51;201;390
51;2;484
51;2;592
51;5;625
56;4213;329
56;4213;373
56;19;385
56;5;459
56;5;533
56;5;533
56;5;538
56;266;412
59;201;546
59;52;592
61;6613;592
62;201;514
63;201;465
63;201;483
63;201;512
63;3414;504
63;201;522
63;3414;522
63;201;527
63;201;534
63;3414;546
64;5;409
64;411;482
64;201;547
64;201;572
64;2;572
65;201;542
66;2;675
66;2;678
66;2;679
66;2;679
66;2;680
66;2;681
66;2;695
66;164;710
69;265;749
69;265;747
70;485;440
70;5;440
70;4214;469
71;273;571
71;555;603
71;429;625
71;545;625
71;546;625
71;451;625
71;266;625
71;266;625
71;266;625
71;266;625
71;279;625
71;266;625
71;465;625
71;266;625
71;620;625
71;530;625
71;185;625
71;514;625
71;466;625
71;266;625
71;174;592
71;84;592
71;255;625
71;511;625
71;492;625
71;486;625
71;436;625
71;266;625
71;271;625
71;266;625
71;216;625
71;266;625
71;266;625
71;266;625
74;201;625
74;201;654
75;201;508
75;3414;534
75;19;571
75;52;579
75;201;591
75;3414;592
75;66;589
75;201;588
;201;580
75;201;604
75;201;603
75;201;606
75;3414;606
75;3414;641
75;12;686
75;201;686
75;3414;690
75;201;703
77;201;571
77;201;625
77;201;625
77;201;625
78;201;654
78;201;676
79;201;522
79;201;546
79;53;546
79;66;546
79;201;571
79;52;571
79;201;580
79;66;580
79;201;592
79;201;592
79;52;592
79;53;592
79;66;592
79;66;592
79;201;606
79;201;606
79;53;606
79;66;606
79;201;625
80;201;522
80;201;546
80;201;592
80;201;606
80;201;625
80;266;504
80;266;546
80;266;571
80;266;568
80;283;571
80;174;580
80;232;606
80;232;606
68;201;343
68;201;349
68;4213;349
68;67;369
68;4213;371
68;1;383
68;4213;383
68;4213;387
68;4213;362
68;3414;399
68;4213;401
68;53;409
68;4213;409
68;3414;465
68;3414;450
68;201;514
68;201;502
68;201;514
68;201;522
68;201;522
68;52;522
68;52;522
68;201;546
68;201;542
68;201;532
68;201;539
68;201;554
68;201;551
68;201;562
68;201;557
68;52;539
68;52;541
68;52;551
68;53;545
68;53;561
68;3414;546
68;201;568
68;201;571
68;201;572
68;201;573
68;201;571
68;201;570
68;201;571
68;201;571
68;19;568
68;19;573
68;19;576
68;19;571
68;52;567
68;52;569
68;52;570
68;53;567
68;19;580
68;52;578
68;52;580
68;201;584
68;201;589
68;201;595
68;201;589
68;201;590
68;201;591
68;201;594
68;19;586
68;19;587
68;19;589
68;19;582
68;19;592
68;52;595
68;53;585
68;198;592
68;201;607
68;201;606
68;52;607
68;53;605
68;53;604
68;53;606
68;66;605
68;3414;606
68;201;606
68;201;612
68;201;625
68;52;612
68;52;613
68;3414;613
68;3414;625
88;17;371
88;7;398
88;17;390
89;17;376
89;17;385
89;7;393
89;7;395
89;7;395
89;4213;397
89;7;393
89;17;393
92;17;371
90;;379
90;229;409
91;229;360
93;174;409
93;3813;410
94;4213;325
94;4213;332
94;4213;332
94;229;341
94;266;368
94;201;344
94;3;353
94;174;356
94;229;356
94;4213;360
94;174;363
94;174;371
94;3;371
94;3;372
94;4213;372
94;174;371
94;174;385
94;3;336
94;4213;363
94;4213;395
94;4213;382
94;4213;339
94;4213;390
94;4613;399
94;174;380
94;4214;395
94;4213;344
94;4213;359
94;4213;349
94;174;356
94;4213;363
94;4213;338
94;266;377
94;3;339
94;174;333
94;4213;355
94;53;356
57;82;569
57;83;569
57;105;577
57;106;577
96;106;695
96;94;695
96;98;698
96;94;683
96;114;704
96;98;704
96;82;683
96;105;698
96;266;577
96;266;698
96;105;704
96;106;704
97;82;593
97;94;660
97;98;660
97;82;676
97;94;676
97;98;676
97;235;683
97;73;683
97;82;683
97;94;683
97;98;683
97;101;683
97;105;683
97;235;694
97;75;694
97;69;694
97;82;694
97;85;694
97;94;694
97;101;694
97;105;694
97;114;694
97;152;694
97;235;698
97;75;698
97;69;698
97;74;698
97;82;698
97;85;698
97;94;698
97;98;698
97;101;698
97;100;698
97;105;698
97;114;698
97;106;695
97;116;698
97;132;698
97;73;704
97;69;704
97;74;704
97;82;704
97;85;704
97;94;704
97;98;704
97;105;704
97;132;704
98;94;683
98;69;698
98;82;704
98;98;704
98;100;704
99;74;694
99;94;694
99;73;698
99;69;698
99;74;698
99;82;698
99;114;698
99;69;704
99;74;704
99;94;704
99;105;704
99;98;704
99;73;712
99;69;712
100;201;527
100;52;527
100;53;527
100;66;527
100;201;571
100;52;571
100;53;571
100;66;571
101;201;625
101;19;625
102;201;630
102;201;627
102;201;611
103;201;625
103;201;654
104;201;625
104;347;625
104;201;654
105;201;648
106;201;592
106;201;592
106;201;625
106;201;625
106;201;641
106;201;654
107;201;625
107;201;654
108;201;565
108;201;625
108;201;625
108;201;654
108;254;654
109;201;654
109;201;654
110;201;654
111;201;654
113;201;641
112;3;337
112;266;395
112;266;395
112;266;402
112;266;582
112;266;527
112;266;625
112;266;625
112;201;625
112;266;625
116;266;371
116;201;625
116;201;592
116;266;625
116;201;625
116;266;641
117;201;401
117;266;546
117;52;527
117;52;625
117;53;625
117;201;625
117;201;625
117;266;625
117;201;654
118;201;375
118;201;409
118;66;401
118;201;465
118;266;546
118;201;592
118;66;592
118;201;625
118;1;625
118;201;654
118;266;369
118;266;379
118;266;343
118;266;625
120;9;650
120;9;650
120;9;650
120;9;650
120;9;650
120;9;650
120;3;625
120;254;654
122;12;676
122;12;690
122;12;696
122;12;701
122;12;712
123;2615;592
123;2;625
123;2;645
123;2;645
123;2;645
123;2;653
123;2;653
123;2;663
123;2;663
123;12;654
123;12;648
123;3;663
123;201;676
123;2;670
123;2;677
123;2;681
123;12;671
123;3;677
123;13;690
123;13;690
72;266;306
72;174;321
72;66;321
72;266;306
72;66;337
72;52;343
72;53;349
72;266;349
72;266;337
72;266;337
72;66;337
72;266;337
72;266;369
72;66;383
72;52;387
72;266;379
72;66;387
72;66;379
72;266;401
72;53;401
72;266;395
72;52;395
72;66;395
72;266;395
72;66;395
72;266;395
72;53;426
72;52;426
72;266;409
72;266;426
72;66;453
72;266;465
72;266;465
72;201;504
72;201;504
72;201;491
72;66;504
72;201;522
72;201;522
72;201;522
72;66;518
72;201;546
72;201;546
72;201;546
72;52;546
72;52;546
72;52;546
72;66;546
72;66;546
72;1;546
72;266;546
72;201;571
72;201;571
72;52;571
72;53;571
72;66;571
72;66;571
72;1;571
72;201;580
72;201;580
72;201;578
72;52;580
72;66;580
72;66;580
72;201;592
72;201;592
72;201;592
72;201;592
72;19;592
72;19;592
72;52;592
72;53;592
72;53;592
72;53;592
72;66;592
72;66;592
72;66;592
72;1;592
72;266;592
72;201;602
72;201;606
72;201;606
72;52;606
72;53;606
72;628;606
72;66;606
72;66;606
72;1;606
72;2619;610
72;201;625
72;201;610
72;201;610
72;201;625
72;201;610
72;201;625
72;201;625
72;201;610
72;201;625
72;19;625
72;19;625
72;52;625
72;52;625
